GoalDiff,ManDiff,PeriodNumber,Number_Of_Sequences,"Home_Goal_CP - Away_Goal_CP","Home_Penalty_CP - Away_Penalty_CP"
2,5,3,75,-60.00000,0.00000
-5,-1,2,62,-60.00000,-25.00000
-2,-5,2,62,0.00000,-100.00000
2,-5,2,61,-20.00000,33.33334
-2,5,3,59,-100.00000,-100.00000
4,-2,3,59,-100.00000,-7.14286
-5,1,2,58,25.00000,-16.66666
7,-1,3,56,-100.00000,-36.36364
-6,1,3,55,0.00000,63.63636
3,2,2,55,100.00000,50.00000
2,2,1,54,50.00000,-16.66666
-3,2,2,52,77.77778,38.46154
3,-5,3,52,0.00000,60.00000
2,5,2,51,50.00000,0.00000
3,5,3,51,0.00000,-27.27272
7,1,3,51,0.00000,-4.76190
2,-2,1,49,-100.00000,-14.28572
0,-4,2,47,-33.33334,0.00000
0,1,5,47,36.58536,0.00000
-6,0,2,43,-33.33334,-27.27272
-3,-5,3,43,-60.00000,50.00000
-2,2,1,42,100.00000,0.00000
-4,2,3,41,40.00000,71.42858
1,-1,5,41,-16.66666,0.00000
8,0,3,40,-100.00000,20.00000
4,1,1,39,100.00000,-20.00000
-4,-2,3,37,-100.00000,0.00000
-2,5,2,37,0.00000,-60.00000
-1,-4,2,36,20.00000,-100.00000
-3,-2,2,35,-100.00000,23.07692
1,-4,2,35,100.00000,33.33334
1,4,2,35,-100.00000,0.00000
4,2,2,35,100.00000,23.07692
-1,-4,3,34,0.00000,-14.28572
0,-4,3,34,50.00000,0.00000
0,4,2,34,-100.00000,33.33334
6,-1,2,34,-66.66666,-27.27272
4,-1,1,32,-100.00000,-71.42858
-1,4,2,29,-42.85714,-33.33334
0,0,6,29,-20.00000,100.00000
4,-2,2,29,-100.00000,-71.42858
-7,-1,3,28,-100.00000,33.33334
6,1,2,28,33.33334,-100.00000
0,-1,5,27,-83.33334,0.00000
5,0,1,27,-100.00000,-60.00000
2,-4,3,26,100.00000,33.33334
3,-5,2,26,-100.00000,33.33334
3,3,3,26,0.00000,16.66666
6,2,3,26,100.00000,-14.28572
-4,2,2,25,100.00000,20.00000
0,-2,4,25,0.00000,-60.00000
0,4,3,25,-50.00000,-20.00000
5,2,3,25,100.00000,14.28572
7,0,2,25,-50.00000,100.00000
-4,1,1,24,100.00000,-42.85714
-2,-2,1,24,-100.00000,-25.00000
-1,1,5,24,77.77778,0.00000
0,2,4,23,100.00000,100.00000
1,4,3,23,-50.00000,50.00000
2,4,3,23,-100.00000,-60.00000
-6,-1,2,22,0.00000,66.66666
-5,2,3,22,0.00000,60.00000
-4,-2,2,22,-100.00000,-66.66666
0,-3,4,22,33.33334,-100.00000
-2,-4,3,21,0.00000,33.33334
1,-4,3,21,-33.33334,100.00000
4,-5,3,21,66.66666,100.00000
-7,1,3,19,0.00000,0.00000
5,-2,2,19,-33.33334,100.00000
1,-3,3,18,0.00000,0.00000
-4,-5,3,17,-100.00000,0.00000
-4,-1,1,17,-100.00000,-42.85714
-3,5,3,17,-100.00000,0.00000
2,-3,3,17,-100.00000,20.00000
3,4,3,17,-33.33334,33.33334
-8,0,3,16,100.00000,-100.00000
-3,5,2,16,-100.00000,20.00000
-2,3,3,16,50.00000,33.33334
-1,4,3,16,100.00000,-100.00000
0,3,4,16,-100.00000,0.00000
3,2,1,16,100.00000,-42.85714
-5,-2,3,15,-100.00000,100.00000
-3,-5,2,15,-100.00000,-100.00000
0,3,2,15,-100.00000,-33.33334
2,-4,2,15,0.00000,0.00000
5,-2,3,15,0.00000,0.00000
0,5,4,14,-100.00000,0.00000
4,5,3,14,0.00000,0.00000
-6,1,2,13,100.00000,100.00000
-1,3,3,13,0.00000,50.00000
0,5,1,13,0.00000,100.00000
3,5,2,13,0.00000,0.00000
-3,2,1,12,100.00000,100.00000
5,-5,3,12,-100.00000,-100.00000
6,-2,3,12,100.00000,0.00000
0,-5,1,11,0.00000,20.00000
-5,0,1,10,100.00000,100.00000
-5,2,2,10,100.00000,33.33334
-3,3,3,10,100.00000,-50.00000
-2,-4,2,10,100.00000,0.00000
-1,-1,5,10,0.00000,0.00000
0,-3,3,10,0.00000,-100.00000
0,3,1,10,100.00000,-20.00000
3,-4,3,10,0.00000,0.00000
3,-3,3,10,0.00000,20.00000
8,-1,3,10,0.00000,0.00000
-4,-4,3,9,0.00000,50.00000
0,-5,4,9,0.00000,0.00000
2,4,2,9,0.00000,0.00000
5,1,1,9,0.00000,100.00000
9,0,3,9,0.00000,100.00000
-8,1,3,8,100.00000,-100.00000
-2,4,3,8,33.33334,-100.00000
0,-4,1,8,0.00000,100.00000
0,-3,1,8,0.00000,-50.00000
1,-3,1,8,0.00000,-50.00000
1,3,2,8,-100.00000,-33.33334
3,-2,1,8,0.00000,0.00000
4,-4,3,8,0.00000,0.00000
4,3,3,8,0.00000,25.00000
5,5,3,8,-100.00000,100.00000
7,2,3,8,100.00000,-33.33334
-4,5,3,7,0.00000,-100.00000
-3,-4,3,7,0.00000,100.00000
-3,-2,1,7,-100.00000,0.00000
-1,3,1,7,0.00000,60.00000
1,-3,2,7,0.00000,-20.00000
2,3,3,7,0.00000,50.00000
5,2,2,7,100.00000,0.00000
-7,2,3,6,100.00000,-50.00000
-6,-2,3,6,-100.00000,-100.00000
-5,-2,2,6,-100.00000,0.00000
-3,-3,3,6,-100.00000,100.00000
-1,0,6,6,0.00000,0.00000
1,-6,3,6,0.00000,0.00000
6,5,3,6,100.00000,100.00000
7,-2,3,6,0.00000,-33.33334
-7,0,2,5,0.00000,0.00000
-3,4,3,5,0.00000,33.33334
-2,-3,3,5,0.00000,-100.00000
0,-3,2,5,0.00000,-100.00000
0,4,1,5,0.00000,0.00000
1,3,1,5,0.00000,33.33334
1,3,3,5,0.00000,100.00000
3,-4,2,5,0.00000,100.00000
3,4,2,5,0.00000,0.00000
8,1,3,5,100.00000,0.00000
-6,2,3,4,100.00000,-100.00000
-4,-3,3,4,0.00000,50.00000
-2,4,2,4,-100.00000,0.00000
-1,-4,1,4,0.00000,33.33334
-1,-4,4,4,0.00000,0.00000
1,-4,4,4,0.00000,0.00000
1,0,6,4,0.00000,0.00000
2,1,5,4,0.00000,0.00000
2,3,2,4,-100.00000,-100.00000
4,-5,2,4,0.00000,100.00000
4,-3,3,4,0.00000,-33.33334
4,2,1,4,100.00000,-100.00000
9,-1,3,4,0.00000,-100.00000
-6,-2,2,3,0.00000,0.00000
-6,5,3,3,100.00000,0.00000
-5,5,3,3,-100.00000,-100.00000
-3,4,2,3,0.00000,100.00000
-1,-5,1,3,0.00000,0.00000
-1,-3,1,3,0.00000,0.00000
-1,4,1,3,0.00000,0.00000
-1,6,3,3,0.00000,0.00000
0,-5,5,3,0.00000,0.00000
1,-4,1,3,0.00000,-100.00000
1,-1,4,3,0.00000,-100.00000
1,2,4,3,0.00000,-100.00000
1,5,1,3,0.00000,0.00000
2,-6,3,3,0.00000,0.00000
2,-1,5,3,-100.00000,0.00000
5,3,3,3,0.00000,-33.33334
5,4,3,3,-100.00000,0.00000
6,-5,3,3,-100.00000,-100.00000
6,-3,2,3,0.00000,100.00000
8,0,2,3,0.00000,100.00000
-8,-1,3,2,0.00000,0.00000
-8,2,3,2,0.00000,0.00000
-6,-3,3,2,0.00000,-100.00000
-5,-1,1,2,0.00000,100.00000
-4,-5,2,2,0.00000,0.00000
-4,5,2,2,0.00000,0.00000
-2,-1,5,2,0.00000,0.00000
-2,3,2,2,0.00000,0.00000
-1,-3,3,2,-100.00000,0.00000
-1,3,2,2,100.00000,100.00000
0,-6,2,2,0.00000,-100.00000
0,-1,6,2,0.00000,0.00000
0,5,5,2,0.00000,0.00000
1,1,5,2,-100.00000,0.00000
1,4,1,2,0.00000,0.00000
2,-3,2,2,0.00000,100.00000
2,4,1,2,0.00000,100.00000
4,4,3,2,0.00000,100.00000
4,5,2,2,0.00000,0.00000
6,-3,3,2,0.00000,100.00000
6,3,3,2,0.00000,0.00000
7,3,3,2,0.00000,100.00000
8,-1,2,2,0.00000,-100.00000
8,2,3,2,0.00000,-100.00000
-8,0,2,1,0.00000,0.00000
-7,-2,3,1,0.00000,0.00000
-7,-1,2,1,0.00000,0.00000
-6,-5,3,1,0.00000,0.00000
-5,-5,2,1,0.00000,0.00000
-5,-5,3,1,0.00000,0.00000
-5,-4,3,1,0.00000,0.00000
-5,-3,3,1,0.00000,0.00000
-5,4,2,1,0.00000,0.00000
-4,2,1,1,0.00000,100.00000
-4,4,3,1,0.00000,-100.00000
-3,-4,2,1,0.00000,0.00000
-3,-3,1,1,0.00000,-100.00000
-3,-3,2,1,0.00000,0.00000
-3,3,1,1,-100.00000,0.00000
-3,3,2,1,0.00000,0.00000
-2,-4,1,1,0.00000,-100.00000
-2,-3,2,1,0.00000,100.00000
-2,3,1,1,0.00000,0.00000
-2,6,3,1,0.00000,0.00000
-1,-7,2,1,0.00000,-100.00000
-1,-5,4,1,0.00000,0.00000
-1,-3,2,1,0.00000,0.00000
-1,5,1,1,0.00000,0.00000
-1,6,2,1,0.00000,0.00000
0,-2,5,1,0.00000,0.00000
0,0,0,1,-100.00000,0.00000
0,3,3,1,0.00000,0.00000
0,6,1,1,0.00000,100.00000
1,-6,1,1,0.00000,0.00000
1,-5,1,1,0.00000,0.00000
2,-4,1,1,0.00000,0.00000
2,-3,1,1,0.00000,-100.00000
3,-3,2,1,0.00000,-100.00000
3,3,2,1,0.00000,0.00000
4,-4,2,1,0.00000,0.00000
4,-3,1,1,0.00000,-100.00000
4,-3,2,1,0.00000,100.00000
5,-4,2,1,0.00000,0.00000
5,-4,3,1,0.00000,-100.00000
5,-3,3,1,0.00000,-100.00000
5,-1,1,1,0.00000,-100.00000
5,5,2,1,0.00000,0.00000
6,-4,3,1,0.00000,0.00000
6,-2,2,1,-100.00000,0.00000
6,2,2,1,0.00000,0.00000
7,-1,2,1,0.00000,-100.00000
9,1,3,1,0.00000,0.00000
