MatchID,TotalSeconds,HomeTeam,RoadTeam,HomeNumberPenalties,RoadNumberPenalties,HomeTeamPMinutes,RoadTeamPMinutes,HomePenaltySum,RoadPenaltySum,HomeGoals-RoadGoals,RoadGoals-HomeGoals,KurtHomePlayers-KurtRoadPlayers,RoadPlayers,HomePlayers,OliverHomePlayers-OliverRoadPlayers,Period,TimeOfPenalty,minutes,seconds,isRegular
2007020035,2648,11,26,1,1,5,5,3,6,3,-3,0,11,12,1,3,00:04:08,44,8,1
2007020035,3228,11,26,1,2,2,4,6,7,5,-5,0,16,18,2,3,00:13:48,53,48,1
2007020035,3365,11,26,1,0,2,0,7,9,5,-5,1,6,7,1,3,00:16:05,56,5,1
2007020036,2400,28,3,1,0,2,0,2,4,0,0,0,0,0,0,2,00:20:00,40,0,1
2007020037,1700,27,14,2,2,4,4,0,1,2,-2,0,24,23,-1,2,00:08:20,28,20,1
2007020040,740,28,23,1,1,2,2,1,1,0,0,0,12,11,-1,1,00:12:20,12,20,1
2007020040,1086,28,23,1,1,2,2,2,2,0,0,0,12,11,-1,1,00:18:06,18,6,1
2007020042,1344,30,24,1,1,5,5,2,1,1,-1,0,12,11,-1,2,00:02:24,22,24,1
2007020044,3075,12,21,1,1,2,2,4,5,1,-1,0,12,11,-1,3,00:11:15,51,15,1
2007020046,2287,20,6,0,1,0,2,3,0,2,-2,-5,6,1,-5,2,00:18:07,38,7,1
2007020047,713,4,26,1,1,5,5,1,0,0,0,0,11,12,1,1,00:11:53,11,53,1
2007020047,1003,4,26,1,1,2,2,2,2,1,-1,2,10,11,1,1,00:16:43,16,43,1
2007020047,2592,4,26,2,0,4,0,5,4,0,0,-1,12,11,-1,3,00:03:12,43,12,1
2007020048,168,18,17,1,1,5,5,0,0,1,-1,0,12,11,-1,1,00:02:48,2,48,1
2007020048,2592,18,17,1,1,2,2,5,6,3,-3,0,12,12,0,3,00:03:12,43,12,1
2007020050,3099,25,7,1,1,10,10,4,6,-5,5,0,10,12,2,3,00:11:39,51,39,1
2007020050,3574,25,7,1,2,2,4,5,8,-6,6,0,16,18,2,3,00:19:34,59,34,1
2007020052,1009,8,31,1,1,2,2,3,3,3,-3,0,11,12,1,1,00:16:49,16,49,1
2007020052,1805,8,31,1,1,5,5,5,7,3,-3,0,11,12,1,2,00:10:05,30,5,1
2007020052,3380,8,31,1,2,2,4,10,9,5,-5,0,14,18,4,3,00:16:20,56,20,1
2007020052,3553,8,31,1,1,5,5,11,11,5,-5,0,12,11,-1,3,00:19:13,59,13,1
2007020052,3597,8,31,1,1,2,2,12,12,6,-6,0,12,11,-1,3,00:19:57,59,57,1
2007020053,3060,1,28,2,1,7,5,5,7,6,-6,0,18,16,-2,3,00:11:00,51,0,1
2007020055,1980,21,14,0,2,0,4,1,2,1,-1,0,11,12,1,2,00:13:00,33,0,1
2007020055,3078,21,14,1,1,5,5,4,7,3,-3,0,12,11,-1,3,00:11:18,51,18,1
2007020056,3013,17,24,1,1,5,5,5,4,-2,2,0,11,12,1,3,00:10:13,50,13,1
2007020056,3238,17,24,1,1,2,10,6,5,-2,2,0,12,11,-1,3,00:13:58,53,58,1
2007020057,3334,23,3,1,1,2,2,3,7,2,-2,0,11,12,1,3,00:15:34,55,34,1
2007020058,1187,9,4,1,1,5,5,3,1,2,-2,0,12,12,0,1,00:19:47,19,47,1
2007020060,1342,22,16,0,2,0,4,1,0,0,0,-1,11,10,-1,2,00:02:22,22,22,1
2007020061,2072,6,25,1,1,5,5,1,2,-2,2,0,12,11,-1,2,00:14:32,34,32,1
2007020062,767,19,13,1,1,5,5,1,1,0,0,0,11,12,1,1,00:12:47,12,47,1
2007020063,3565,8,3,1,1,2,2,4,7,4,-4,0,12,11,-1,3,00:19:25,59,25,1
2007020064,2218,1,15,1,1,2,2,4,3,0,0,0,11,12,1,2,00:16:58,36,58,1
2007020065,2251,2,29,2,1,4,2,5,3,0,0,0,17,16,-1,2,00:17:31,37,31,1
2007020066,1823,23,27,1,1,5,5,4,1,-3,3,0,12,11,-1,2,00:10:23,30,23,1
2007020066,3427,23,27,1,1,5,5,6,7,-3,3,0,11,12,1,3,00:17:07,57,7,1
2007020066,3600,23,27,0,1,0,2,7,8,-2,2,0,0,0,0,3,00:20:00,60,0,1
2007020067,1668,7,28,1,1,5,5,1,2,1,-1,0,11,12,1,2,00:07:48,27,48,1
2007020067,3140,7,28,1,1,2,2,2,5,1,-1,0,12,11,-1,3,00:12:20,52,20,1
2007020068,3264,31,14,1,1,2,2,5,2,-1,1,0,11,12,1,3,00:14:24,54,24,1
2007020069,1041,21,12,1,2,5,7,2,2,2,-2,0,16,18,2,1,00:17:21,17,21,1
2007020070,2425,17,16,1,1,5,5,2,4,0,0,0,12,11,-1,3,00:00:25,40,25,1
2007020071,1166,4,22,1,1,5,5,1,3,-1,1,0,11,12,1,1,00:19:26,19,26,1
2007020071,1987,4,22,1,1,5,5,3,6,-1,1,0,12,11,-1,2,00:13:07,33,7,1
2007020071,2813,4,22,1,1,2,2,5,8,-1,1,0,11,12,1,3,00:06:53,46,53,1
2007020072,3521,11,30,1,2,2,12,5,5,4,-4,0,16,17,1,3,00:18:41,58,41,1
2007020072,3549,11,30,1,3,10,14,6,7,4,-4,2,18,22,4,3,00:19:09,59,9,1
2007020073,5,25,6,1,1,5,5,0,0,0,0,0,11,12,1,1,00:00:05,0,5,1
2007020073,2645,25,6,0,2,0,4,4,4,3,-3,0,11,12,1,3,00:04:05,44,5,1
2007020073,2926,25,6,3,3,9,17,4,6,4,-4,0,31,33,2,3,00:08:46,48,46,1
2007020074,3302,24,20,1,2,2,4,5,2,0,0,0,17,16,-1,3,00:15:02,55,2,1
2007020074,3503,24,20,2,1,12,10,6,4,-1,1,0,18,17,-1,3,00:18:23,58,23,1
2007020075,242,26,13,1,1,2,2,0,0,0,0,0,12,11,-1,1,00:04:02,4,2,1
2007020076,858,10,20,1,1,5,5,2,3,0,0,0,12,11,-1,1,00:14:18,14,18,1
2007020076,928,10,20,1,1,5,5,3,4,0,0,0,12,11,-1,1,00:15:28,15,28,1
2007020076,1536,10,20,1,1,5,5,4,6,-1,1,0,11,12,1,2,00:05:36,25,36,1
2007020076,2591,10,20,1,1,2,2,6,10,-2,2,-1,11,10,-1,3,00:03:11,43,11,1
2007020078,1633,8,1,1,1,2,2,1,4,-2,2,0,12,11,-1,2,00:07:13,27,13,1
2007020079,891,25,26,1,2,5,7,0,3,0,0,0,17,16,-1,1,00:14:51,14,51,1
2007020079,1777,25,26,1,1,5,5,2,7,1,-1,0,11,12,1,2,00:09:37,29,37,1
2007020079,3571,25,26,5,3,34,14,8,9,-2,2,-1,42,34,-8,3,00:19:31,59,31,1
2007020080,297,10,9,1,1,2,2,1,1,1,-1,0,12,12,0,1,00:04:57,4,57,1
2007020080,1134,10,9,2,1,4,2,3,5,1,-1,0,17,16,-1,1,00:18:54,18,54,1
2007020080,1997,10,9,2,0,4,0,5,8,1,-1,0,12,11,-1,2,00:13:17,33,17,1
2007020082,2213,2,21,1,1,5,5,2,4,1,-1,0,11,12,1,2,00:16:53,36,53,1
2007020083,1520,11,16,1,1,5,5,2,2,-3,3,0,11,12,1,2,00:05:20,25,20,1
2007020084,3215,19,20,1,1,2,2,3,6,0,0,1,9,12,3,3,00:13:35,53,35,1
2007020085,1239,30,22,1,1,2,2,0,2,0,0,0,12,11,-1,2,00:00:39,20,39,1
2007020085,1453,30,22,1,1,5,5,1,3,0,0,0,11,12,1,2,00:04:13,24,13,1
2007020086,2379,15,14,2,0,4,0,6,5,0,0,1,10,11,1,2,00:19:39,39,39,1
2007020086,3194,15,14,2,2,4,4,8,5,-1,1,0,24,21,-3,3,00:13:14,53,14,1
2007020087,2775,4,18,1,1,5,5,2,4,-2,2,0,12,11,-1,3,00:06:15,46,15,1
2007020088,2842,10,17,1,1,5,5,2,2,1,-1,0,12,11,-1,3,00:07:22,47,22,1
2007020089,137,13,12,1,1,5,5,0,0,0,0,0,11,12,1,1,00:02:17,2,17,1
2007020089,1052,13,12,1,1,5,5,2,1,1,-1,0,11,12,1,1,00:17:32,17,32,1
2007020090,2391,7,14,1,2,5,7,5,3,3,-3,0,18,18,0,2,00:19:51,39,51,1
2007020092,3073,31,23,0,3,0,14,4,5,3,-3,1,17,18,1,3,00:11:13,51,13,1
2007020092,3440,31,23,2,1,7,5,5,8,3,-3,0,17,16,-1,3,00:17:20,57,20,1
2007020092,3531,31,23,2,1,4,2,7,9,3,-3,-1,16,14,-2,3,00:18:51,58,51,1
2007020092,3595,31,23,2,0,4,0,9,10,2,-2,-2,12,9,-3,3,00:19:55,59,55,1
2007020093,1996,1,21,1,1,5,5,4,3,0,0,-1,12,9,-3,2,00:13:16,33,16,1
2007020094,700,27,2,1,1,2,2,0,1,1,-1,0,12,11,-1,1,00:11:40,11,40,1
2007020095,3014,16,19,2,1,7,5,6,5,2,-2,0,18,17,-1,3,00:10:14,50,14,1
2007020095,3236,16,19,1,1,2,2,9,6,1,-1,0,12,12,0,3,00:13:56,53,56,1
