ELDLogLikelihood,rank,ratingSum
5191.249382019043,5.3,1088
1125.7475859480244,2.4,64
1104.8895348906517,5.4,280
3018.508391039712,7.9,558
2736.533576965332,6.2,1062
924.0171966552734,3.2,205
2072.6012015342712,4.8,417
151.9408231095544,3.2,17
7172.453315530504,6.6,1772
770.3870405384472,5.7,432
1545.932184457779,5.5,843
12200.800264562879,6.3,3861
1839.7732938655786,5.5,186
864.1350110939571,5.3,221
4390.349597726549,6.2,2305
7926.1985085351125,8.5,7509
2282.4143063340866,6.9,1245
934.1683015738215,4.1,281
287.07433384656906,6.2,93
82.59426979401282,5.1,8
1635.6479187863213,5.3,444
14615.777157987866,6.4,3543
2135.478773644992,5.2,322
2496.453622187887,5.7,969
255.92399679550104,4.8,67
1241.2427882552147,6.1,360
1129.3698085120745,7.4,350
43974.24723066603,6.6,4854
186.58823361673527,4.1,43
8437.802899088178,6.6,2990
1950.0986332212176,6.7,1193
814.2322648976531,4.8,216
821.7712871687753,5.6,123
371.89630517150675,5.6,90
6581.884369032724,3.1,609
3731.194936479841,5.8,1164
9914.337217467171,3.6,1368
8751.565675871712,7.6,5153
8318.227706772941,5.4,2053
5869.832913194384,7.0,3069
8817.123826009887,7.6,826
1639.5624788999557,5.3,884
4703.056269918169,2.4,551
180.08252232415336,6.5,126
3181.216565677098,8.1,2894
2214.439100469862,6.1,1075
489.9897331063236,5.6,113
555.1226367471473,4.3,28
1623.1185183865684,6.1,295
9675.781885845321,5.3,882
3314.9101132154465,5.2,591
1414.5443120683942,6.4,297
339.08780183536663,4.2,66
1591.624820641109,4.8,440
8187.161687135696,7.2,1994
328.1553048321179,5.0,118
3849.681208746774,7.0,2813
183.7297673326518,5.4,17
6827.282763344901,6.5,716
980.3508340716362,4.4,96
1336.3710939032692,6.0,687
2044.0313399689537,6.0,417
7761.359579954828,4.6,559
57.72299782027091,4.5,19
303.6699006302016,7.7,83
652.6066329010895,4.2,175
14869.719955171857,8.4,10342
1007.2789762360709,5.5,357
5787.537265573229,5.9,1835
1015.1644454513278,6.0,497
7827.387614658901,5.4,1583
1367.421997325761,5.6,306
896.2874037197658,7.3,394
192.85470932189907,2.8,38
227.79453774860926,2.5,18
4329.591038874218,5.4,629
168.66343988691057,6.1,60
615.5822777748108,4.9,142
1151.7058876582555,7.6,80
13653.611874103546,6.8,3944
3213.4690769740514,6.3,2116
250.9659094906279,6.3,66
12217.985866137913,6.7,3116
2502.2642015048436,6.8,1957
33.23936618864536,4.7,4
716.2169963291714,5.2,387
7501.165402787073,4.8,1265
2045.9654107775007,5.9,1018
8141.4901776994975,6.6,2762
952.606343797275,6.5,247
3728.416334288461,7.2,2830
433.19829746655057,7.5,161
834.0563882078443,5.4,359
2557.146342073168,5.5,508
1463.020858858313,4.8,337
2817.097335951669,5.7,904
77.48111346576896,6.8,57
3012.2466425214493,8.4,4307
1394.870327251298,5.6,552
3993.588332142149,5.7,1179
1057.7125186536994,5.6,163
669.2142532936165,4.8,103
1660.2657295337744,5.7,227
822.6559260359833,4.2,86
3545.795345612935,5.7,1718
8755.60959666116,6.0,2834
1356.5870150157384,5.8,621
4703.24002804075,6.5,1915
4669.111860275269,7.1,1867
1156.3937452265195,5.9,301
19.362753575601214,6.2,2
10166.091947351184,6.0,1674
10472.16928945269,8.3,6867
15181.921681744712,7.1,4020
8164.847610677992,7.5,2938
1008.2544744099889,5.2,64
395.1811714172363,7.9,1024
884.4139887009349,4.4,100
1993.565348488944,7.3,2503
3392.113318545478,6.3,1974
1140.666466661862,5.4,345
8106.165882723672,6.5,2648
28.23817184141704,7.0,15
866.1604010207312,5.7,339
801.6712124688285,7.4,73
7212.008490971157,6.9,1781
3376.7531214100973,5.6,1483
10685.740041460309,7.2,3643
3569.611095700945,6.1,2458
5281.728179863521,5.9,1437
4791.597078732082,5.5,1283
10801.637357439313,7.2,3063
2799.7961566107615,6.2,1408
781.5061165605273,4.9,234
3898.8504769120896,6.3,1392
7736.479221275875,6.5,2503
2862.275458386966,5.5,647
6936.889359610422,7.3,4833
1732.4241509693009,3.9,202
343.69830275007655,6.6,209
785.9938425251415,4.8,159
1077.8201427459717,7.0,568
1265.0487103887967,4.6,204
1204.3964718197074,4.4,206
326.79940993658136,4.5,96
5237.391092811312,7.6,1418
1113.1059126257896,5.0,270
741.7447531649044,6.7,345
2855.7087206159317,6.8,1488
2777.4194428920746,7.7,1483
1888.5080084119525,6.2,666
1949.4831404515676,5.1,735
12682.42265210833,7.2,2885
2788.693926130022,7.5,2999
3859.5093362671987,5.7,1700
5807.536778739521,5.3,891
717.9350756917681,4.8,226
6364.7897698538645,7.5,1207
7416.511365890503,6.4,1642
5402.627438136509,6.4,982
1903.3772272382464,6.8,959
9000.98047392709,8.5,7900
6908.135529415948,5.2,1160
2580.7615667070663,5.8,336
1190.9994032723564,5.7,385
3690.649790082659,7.2,3144
2828.6004900251114,7.8,3562
4704.096747704914,6.4,1737
13182.342406272888,7.3,4332
98.41139680732574,5.8,19
5262.477983559881,6.0,1010
816.624171597617,5.9,203
1046.7109770093646,5.7,547
1127.0961084025246,5.9,601
327.88446203193496,5.4,53
1478.9413051775523,6.6,1004
6180.843608311245,8.3,3646
851.0712010519845,6.7,348
29.315463129963195,5.7,4
1661.4605980302606,5.2,194
6351.167098999023,7.7,1826
720.2028900129454,5.2,258
2529.681394747325,7.6,1231
9871.214831760952,7.1,2850
4572.881305149624,4.0,431
2315.8225389208114,4.3,326
1894.7128598008837,5.6,1028
1208.6588741285461,3.9,289
673.415683737823,5.6,119
