ELD,FD,LOG,LR,absLR,class,ID
19.7642,19.7642,106.346,1.9852,19.7642,1,22
19.7642,19.7642,104.9957,3.3753,19.7642,1,219
19.7642,19.7642,106.346,1.9852,19.7642,1,41
19.7642,19.7642,104.9957,3.3753,19.7642,1,218
19.7642,19.7642,105.5459,2.8503,19.7642,1,235
19.7642,0,107.0012,0.9499,19.7642,1,7
35.6085,15.8801,106.8962,2.9886,19.275,1,100
35.6085,15.8801,107.041,2.5687,19.275,1,102
15.8801,15.8801,106.726,0.6391,15.8801,1,137
15.8801,15.8801,105.8609,1.5043,15.8801,1,166
15.8801,15.8801,105.8609,1.5043,15.8801,1,92
15.8801,15.8801,101.155,3.6546,15.8801,1,113
15.8801,15.8801,105.4808,1.9242,15.8801,1,80
15.8801,15.8801,104.5107,2.7894,15.8801,1,4
15.8801,15.8801,105.4808,1.9242,15.8801,1,119
15.8801,15.8801,105.8609,1.5043,15.8801,1,216
15.8801,15.8801,101.05,3.6546,15.8801,1,176
15.8801,15.8801,106.346,1.0591,15.8801,1,233
15.8801,15.8801,105.4808,1.9242,15.8801,1,56
15.8801,15.8801,105.4808,1.9242,15.8801,1,73
15.8801,15.8801,105.8609,1.5043,15.8801,1,187
15.8801,15.8801,106.6862,0.6391,15.8801,1,5
15.8801,15.8801,105.1007,2.3695,15.8801,1,203
15.8801,15.8801,105.8609,1.5043,15.8801,1,31
15.8801,15.8801,105.1007,2.3695,15.8801,1,104
15.8801,15.8801,105.0609,2.3695,15.8801,1,71
15.8801,15.8801,104.6156,2.7894,15.8801,1,139
15.8801,15.8801,103.8555,3.2346,15.8801,1,30
15.8801,15.8801,105.4808,1.9242,15.8801,1,6
15.8801,15.8801,103.7505,3.2346,15.8801,1,94
15.8801,15.8801,105.4808,1.9242,15.8801,1,82
15.8801,15.8801,100.3948,3.6546,15.8801,1,59
15.8801,15.8801,100.565,3.6546,15.8801,1,47
15.8801,15.8801,103.9205,3.2346,15.8801,1,12
11.9497,11.9497,105.3758,1.2438,11.9497,1,29
11.9497,11.9497,106.8962,0.4864,11.9497,1,87
11.9497,11.9497,105.1007,1.5588,11.9497,1,211
11.9497,11.9497,104.5107,2.109,11.9497,1,46
11.9497,11.9497,106.031,0.6936,11.9497,1,142
