ELD,FD,LOG,LR,absLR,class,ID
26.6644,15.5559,67.554,1.6593,18.1348,1,178
26.6644,15.5559,67.5802,1.6593,18.1348,1,17
26.6644,15.5559,65.6491,1.6593,18.1348,1,43
26.6644,15.5559,65.6491,1.6593,18.1348,1,65
26.6644,15.5559,67.5802,1.6593,18.1348,1,125
26.6644,15.5559,67.554,1.6593,18.1348,1,187
26.6644,15.5559,65.6491,1.6593,18.1348,1,200
40.1223,89.1501,78.7204,5.1623,17.5032,1,146
40.1223,89.1501,78.7204,5.1623,17.5032,1,160
40.1223,27.5557,78.7204,5.1623,17.5032,1,100
40.1223,27.5557,78.7204,5.1623,17.5032,1,83
40.1223,89.1501,78.7204,5.1623,17.5032,1,143
40.1223,86.8841,78.7204,5.1623,17.5032,1,237
18.0859,13.6599,78.7989,5.0839,17.3402,1,127
18.0859,13.6599,78.7989,5.0839,17.3402,1,217
18.0859,13.6599,78.7989,5.0839,17.3402,1,111
18.0859,13.6599,78.7989,5.0839,17.3402,1,208
23.3392,15.5559,91.8961,8.5869,16.7085,1,232
23.3392,15.5559,87.4607,8.5869,16.7085,1,224
23.3392,15.5559,96.227,8.5869,16.7085,1,180
23.3392,15.5559,87.4607,8.5869,16.7085,1,204
23.3392,15.5559,91.8961,8.5869,16.7085,1,5
35.4025,23.5745,74.3634,1.6841,16.6596,1,102
35.4025,23.5745,74.3634,1.6841,16.6596,1,106
35.4025,23.5745,74.3634,1.6841,16.6596,1,153
35.4025,23.5745,74.3634,1.6841,16.6596,1,186
35.4025,23.5745,74.3634,1.6841,16.6596,1,41
35.4025,23.5745,74.3634,1.6841,16.6596,1,49
35.4025,23.5745,74.3634,1.6841,16.6596,1,12
35.4025,23.5745,74.3634,1.6841,16.6596,1,134
35.4025,23.5745,74.3634,1.6841,16.6596,1,239
35.4025,23.5745,74.3634,1.6841,16.6596,1,44
35.4025,23.5745,74.3634,1.6841,16.6596,1,230
35.4025,23.5745,74.3634,1.6841,16.6596,1,47
35.4025,23.5745,74.3634,1.6841,16.6596,1,107
35.4025,23.5745,74.3634,1.6841,16.6596,1,198
35.4025,23.5745,74.3634,1.6841,16.6596,1,219
35.4025,23.5745,74.3634,1.6841,16.6596,1,31
