ELD,FD,LOG,LR,absLR,class,ID
17.0482,3.741,60.5144,8.6811,16.9129,1,110
17.0482,3.741,60.5144,8.6811,16.9129,1,26
17.0482,3.741,60.5144,8.6811,16.9129,1,64
17.0482,3.741,60.5144,8.6811,16.9129,1,18
17.0482,3.741,60.5144,8.6811,16.9129,1,157
16.8454,8.5283,102.4991,1.4102,16.7175,1,151
15.9128,7.7281,91.154,1.2154,15.7548,1,60
15.9128,7.7281,103.9743,1.2154,15.7548,1,29
15.5021,8.5283,77.0886,2.2055,15.3443,1,39
15.5021,8.5283,77.0886,2.2055,15.3443,1,176
15.5021,8.5283,77.0886,2.2055,15.3443,1,211
15.5021,8.5283,77.0886,2.2055,15.3443,1,74
15.5021,8.5283,77.0886,2.2055,15.3443,1,24
15.5021,8.5283,77.0886,2.2055,15.3443,1,37
15.5021,8.5283,77.0886,2.2055,15.3443,1,51
15.5021,8.5283,77.0886,2.2055,15.3443,1,80
15.5021,8.5283,77.0886,2.2055,15.3443,1,167
15.5021,8.5283,77.0886,2.2055,15.3443,1,93
15.5021,8.5283,77.0886,2.2055,15.3443,1,23
15.5021,8.5283,77.0886,2.2055,15.3443,1,92
15.5021,8.5283,77.0886,2.2055,15.3443,1,135
15.5021,8.5283,77.0886,2.2055,15.3443,1,207
15.5021,8.5283,77.0886,2.2055,15.3443,1,48
15.5021,8.5283,77.0886,2.2055,15.3443,1,84
15.5021,8.5283,77.0886,2.2055,15.3443,1,213
15.5021,8.5283,77.0886,2.2055,15.3443,1,140
15.5021,8.5283,77.0886,2.2055,15.3443,1,184
14.9651,4.5411,73.3013,2.6266,14.8148,1,97
14.9651,4.5411,73.3013,2.6266,14.8148,1,169
14.9651,4.5411,73.3013,2.6266,14.8148,1,67
14.9651,4.5411,73.3013,2.6266,14.8148,1,218
14.9651,4.5411,73.3013,2.6266,14.8148,1,123
14.9651,4.5411,73.3013,2.6266,14.8148,1,196
14.9651,4.5411,73.3013,2.6266,14.8148,1,13
14.9651,4.5411,73.3013,2.6266,14.8148,1,173
14.9651,4.5411,73.3013,2.6266,14.8148,1,195
14.9651,4.5411,73.3013,2.6266,14.8148,1,57
14.9651,4.5411,73.3013,2.6266,14.8148,1,215
14.9651,4.5411,73.3013,2.6266,14.8148,1,222
14.9651,4.5411,73.3013,2.6266,14.8148,1,34
14.9651,4.5411,73.3013,2.6266,14.8148,1,171
14.9651,4.5411,73.3013,2.6266,14.8148,1,193
14.9651,4.5411,73.3013,2.6266,14.8148,1,69
14.9651,4.5411,73.3013,2.6266,14.8148,1,98
14.9651,4.5411,73.3013,2.6266,14.8148,1,199
14.8345,7.7281,77.0886,2.0107,14.7067,1,31
14.8345,7.7281,77.0886,2.0107,14.7067,1,198
14.8345,7.7281,77.0886,2.0107,14.7067,1,219
14.8345,7.7281,77.0886,2.0107,14.7067,1,102
14.8345,7.7281,77.0886,2.0107,14.7067,1,153
14.8345,7.7281,77.0886,2.0107,14.7067,1,44
14.8345,7.7281,77.0886,2.0107,14.7067,1,239
14.8345,7.7281,77.0886,2.0107,14.7067,1,230
14.8345,7.7281,77.0886,2.0107,14.7067,1,107
14.8345,7.7281,77.0886,2.0107,14.7067,1,41
14.8345,7.7281,77.0886,2.0107,14.7067,1,49
14.8345,7.7281,77.0886,2.0107,14.7067,1,106
14.8345,7.7281,77.0886,2.0107,14.7067,1,186
14.8345,7.7281,77.0886,2.0107,14.7067,1,12
14.8345,7.7281,77.0886,2.0107,14.7067,1,134
14.8345,7.7281,77.0886,2.0107,14.7067,1,47
14.1573,8.5283,85.0228,0.9063,14.1573,1,154
14.1573,8.5283,85.0228,0.9063,14.1573,1,183
14.1573,8.5283,85.0228,0.9063,14.1573,1,108
14.1573,8.5283,85.0228,0.9063,14.1573,1,172
14.1573,8.5283,85.0228,0.9063,14.1573,1,20
14.1573,8.5283,85.0228,0.9063,14.1573,1,229
14.1573,8.5283,85.0228,0.9063,14.1573,1,33
14.1573,8.5283,85.0228,0.9063,14.1573,1,32
14.2312,3.741,73.3013,2.5293,14.0959,1,46
14.2312,3.741,73.3013,2.5293,14.0959,1,82
14.2312,3.741,73.3013,2.5293,14.0959,1,9
14.2312,3.741,73.3013,2.5293,14.0959,1,147
14.2312,3.741,73.3013,2.5293,14.0959,1,45
14.2312,3.741,73.3013,2.5293,14.0959,1,52
14.2312,3.741,73.3013,2.5293,14.0959,1,117
14.2312,3.741,73.3013,2.5293,14.0959,1,124
14.2312,3.741,73.3013,2.5293,14.0959,1,131
14.2312,3.741,73.3013,2.5293,14.0959,1,139
14.2312,3.741,73.3013,2.5293,14.0959,1,175
14.2312,3.741,73.3013,2.5293,14.0959,1,3
14.2312,3.741,73.3013,2.5293,14.0959,1,144
14.2312,3.741,73.3013,2.5293,14.0959,1,216
