Season,SeasonType,PlayerId,PlayerName,SumOfSumOfImpact,SSIRank
2010-2011,Regular Season,8470616,Ryan Kesler,29.28227894,1
2010-2011,Regular Season,8473604,Jonathan Toews,27.9554554,2
2010-2011,Regular Season,8470595,Eric Staal,26.7291613,3
2010-2011,Regular Season,8470604,Jeff Carter,25.91727519,4
2010-2011,Regular Season,8471214,Alex Ovechkin,24.78255418,5
2010-2011,Regular Season,8470794,Joe Pavelski,23.86185379,6
2010-2011,Regular Season,8473512,Claude Giroux,23.72718626,7
2010-2011,Regular Season,8469544,Patrick Sharp,23.01282262,8
2010-2011,Regular Season,8469521,Tomas Plekanec,21.9745456,9
2010-2011,Regular Season,8467389,Brad Richards,21.45045543,10
2010-2011,Regular Season,8471685,Anze Kopitar,21.29184699,11
2010-2011,Regular Season,8468083,Henrik Zetterberg,21.13748272,12
2010-2011,Regular Season,8469455,Jason Spezza,21.04620272,13
2010-2011,Regular Season,8475166,John Tavares,20.82429138,14
2010-2011,Regular Season,8473546,Michael Grabner,20.34580654,15
2010-2011,Regular Season,8474564,Steven Stamkos,20.29228016,16
2010-2011,Regular Season,8471273,Brandon Dubinsky,19.43235409,17
2010-2011,Regular Season,8471669,Paul Stastny,19.26491844,18
2010-2011,Regular Season,8469457,Stephen Weiss,18.83673435,19
2010-2011,Regular Season,8471390,Mike Santorelli,18.79727258,20
2010-2011,Regular Season,8470041,Rick Nash,18.68783067,21
2010-2011,Regular Season,8462042,Jarome Iginla,18.1432454,22
2010-2011,Regular Season,8470598,Thomas Vanek,18.09585312,23
2010-2011,Regular Season,8473412,Bryan Little,17.81406717,24
2010-2011,Regular Season,8466139,Patrick Marleau,17.72143452,25
2010-2011,Regular Season,8473548,Phil Kessel,17.26953173,26
2010-2011,Regular Season,8471362,Mikhail Grabovski,17.09836695,27
2010-2011,Regular Season,8466378,Martin St. Louis,17.07886205,28
2010-2011,Regular Season,8469459,Mikko Koivu,16.91436637,29
2010-2011,Regular Season,8464975,Daniel Briere,16.76708884,30
2010-2011,Regular Season,8465050,Eric Belanger,16.16455309,31
2010-2011,Regular Season,8471218,Blake Wheeler,16.14901212,32
2010-2011,Regular Season,8468535,Antoine Vermette,15.91296481,33
2010-2011,Regular Season,8467875,Daniel Sedin,15.85552638,34
2010-2011,Regular Season,8466140,Olli Jokinen,15.8225144,35
2010-2011,Regular Season,8468504,Brad Boyes,15.68448131,36
2010-2011,Regular Season,8467876,Henrik Sedin,15.51745786,37
2010-2011,Regular Season,8474053,Logan Couture,15.49829473,38
2010-2011,Regular Season,8467329,Vincent Lecavalier,15.2226685,39
2010-2011,Regular Season,8467371,Mike Ribeiro,15.21412903,40
2010-2011,Regular Season,8468526,Jarret Stoll,15.11666146,41
2010-2011,Regular Season,8473994,Jamie Benn,15.09276554,42
2010-2011,Regular Season,8470621,Corey Perry,15.07709173,43
2010-2011,Regular Season,8475098,Tyler Bozak,15.07368698,44
2010-2011,Regular Season,8471675,Sidney Crosby,14.92091695,45
2010-2011,Regular Season,8457981,Teemu Selanne,14.9128278,46
2010-2011,Regular Season,8471514,Rich Peverley,14.84724259,47
2010-2011,Regular Season,8462038,Shane Doan,14.713924,48
2010-2011,Regular Season,8473563,Nicklas Backstrom,14.62793966,49
2010-2011,Regular Season,8471676,Bobby Ryan,14.61217863,50
2010-2011,Regular Season,8467396,Erik Cole,14.5532148,51
2010-2011,Regular Season,8470642,Shea Weber,14.47350922,52
2010-2011,Regular Season,8470655,David Backes,14.41967938,53
2010-2011,Regular Season,8473534,Patrik Berglund,14.41282927,54
2010-2011,Regular Season,8474141,Patrick Kane,14.19285457,55
2010-2011,Regular Season,8469469,R.J. Umberger,14.14767643,56
2010-2011,Regular Season,8470617,Mike Richards,14.10206745,57
2010-2011,Regular Season,8470638,Patrice Bergeron,13.94479074,58
2010-2011,Regular Season,8474589,Tyler Ennis,13.80271938,59
2010-2011,Regular Season,8467407,Brian Gionta,13.65226742,60
2010-2011,Regular Season,8466160,Brenden Morrow,13.62596825,61
2010-2011,Regular Season,8469639,Brooks Laich,13.52535591,62
2010-2011,Regular Season,8471309,Johan Franzen,13.52341731,63
2010-2011,Regular Season,8468064,Martin Erat,13.34070653,64
2010-2011,Regular Season,8467878,Tim Connolly,13.26120656,65
2010-2011,Regular Season,8475168,Matt Duchene,13.24621232,66
2010-2011,Regular Season,8471217,Andrew Ladd,13.19527317,67
2010-2011,Regular Season,8471233,Travis Zajac,13.17531989,68
2010-2011,Regular Season,8462129,Michal Handzus,13.08841569,69
2010-2011,Regular Season,8470257,Alexander Steen,13.00528942,70
2010-2011,Regular Season,8467351,Scott Gomez,12.7283306,71
2010-2011,Regular Season,8469454,Ilya Kovalchuk,12.68216221,72
2010-2011,Regular Season,8469638,Jussi Jokinen,12.67937211,73
2010-2011,Regular Season,8471794,Darren Helm,12.59255383,74
2010-2011,Regular Season,8470543,Chris Kunitz,12.56586143,75
2010-2011,Regular Season,8458537,Ray Whitney,12.55994865,76
2010-2011,Regular Season,8470120,Alexander Semin,12.54145357,77
2010-2011,Regular Season,8467096,Dan Boyle,12.32236281,78
2010-2011,Regular Season,8471226,Drew Stafford,12.30503202,79
2010-2011,Regular Season,8471232,Lauri Korpikoski,12.25097648,80
2010-2011,Regular Season,8470606,Dustin Brown,12.23517676,81
2010-2011,Regular Season,8473564,Michael Frolik,12.21947916,82
2010-2011,Regular Season,8470358,Alexandre Burrows,12.15079112,83
2010-2011,Regular Season,8474091,Brandon Sutter,11.98879481,84
2010-2011,Regular Season,8473579,Nikolay Kulemin,11.86142136,85
2010-2011,Regular Season,8457063,Nicklas Lidstrom,11.82598737,86
2010-2011,Regular Season,8470144,Frans Nielsen,11.74023143,87
2010-2011,Regular Season,8471245,Dave Bolland,11.7287155,88
2010-2011,Regular Season,8466138,Joe Thornton,11.72370159,89
2010-2011,Regular Season,8470597,Nikolay Zherdev,11.68387099,90
2010-2011,Regular Season,8473485,Chris Stewart,11.57166595,91
2010-2011,Regular Season,8471346,Kris Versteeg,11.47994965,92
2010-2011,Regular Season,8471707,James Neal,11.4269366,93
2010-2011,Regular Season,8468508,Justin Williams,11.30026425,94
2010-2011,Regular Season,8474613,Derek Stepan,11.29635701,95
2010-2011,Regular Season,8471274,Alex Goligoski,11.18752859,96
2010-2011,Regular Season,8467844,Jason Blake,11.18584361,97
2010-2011,Regular Season,8466371,John Madden,11.17830451,98
2010-2011,Regular Season,8467943,Niklas Hagman,11.16415445,99
2010-2011,Regular Season,8468575,Dominic Moore,11.10017738,100
2010-2011,Regular Season,8471311,Tyler Kennedy,11.063909,101
2010-2011,Regular Season,8468518,Tomas Kopecky,11.04436527,102
2010-2011,Regular Season,8471266,David Booth,10.99619718,103
2010-2011,Regular Season,8470619,Brian Boyle,10.873044,104
2010-2011,Regular Season,8475784,Jeff Skinner,10.79383925,105
