PlayerId,Season,SeasonType,Goals,GoalsRank,Assists,AssistsRank,Points,PointsRank,PlusMinus,PlusMinusRank,Shots,ShotsRank,Hits,HitsRank,BlockedShots,BlockedShotsRank,Giveaways,GiveawaysRank,Takeaways,TakeawaysRank,PowerPlayTimeOnIce,PPTOIRank,ShortHandedTimeOnIce,SHTOIRank,PenaltyMinutes,PIMRank,TimeOnIce,TOIRank
8470151,2007-2008,Regular Season,15,151,22,190,37,174,-5,640,182,96,105,120,118,44,65,33,19,374,17558,86,19978,6,72,129,135148,1
8470602,2007-2008,Regular Season,17,123,43,41,60,62,12,64,263,17,194,16,88,95,51,87,52,41,24833,7,13851,80,182,9,129995,2
8470281,2007-2008,Regular Season,12,219,20,219,32,224,30,6,148,155,67,280,115,51,41,147,52,44,10411,229,22443,1,56,204,125762,3
8467400,2007-2008,Regular Season,2,540,19,238,21,327,-9,733,144,163,97,147,71,133,46,109,36,143,13552,160,20431,4,59,186,125603,4
8466285,2007-2008,Regular Season,8,301,54,13,62,55,8,113,142,166,61,317,96,81,62,41,22,321,21058,27,12994,96,20,549,125032,5
8465009,2007-2008,Regular Season,17,121,34,79,51,100,14,49,207,64,223,8,78,113,50,90,30,206,20060,41,16758,30,114,34,123999,6
8467496,2007-2008,Regular Season,16,132,42,44,58,66,1,283,145,159,59,330,127,30,92,4,60,19,25449,6,15580,45,63,165,122860,7
8465200,2007-2008,Regular Season,8,298,45,36,53,90,-8,707,155,140,41,441,99,78,84,10,24,284,26395,4,6748,271,22,525,122346,8
8469770,2007-2008,Regular Season,13,194,23,179,36,185,11,81,171,115,62,312,110,57,63,37,22,320,18082,77,14374,72,70,139,122265,9
8457063,2007-2008,Regular Season,10,241,60,5,70,38,40,2,188,85,23,583,70,138,39,166,23,310,21551,22,18071,17,40,333,121844,10
8458951,2007-2008,Regular Season,12,207,53,15,65,46,13,55,173,112,56,343,126,31,43,129,33,172,26371,5,18113,16,66,153,121287,11
8470828,2007-2008,Regular Season,5,418,33,87,38,161,-5,638,105,286,21,599,106,67,52,81,30,205,28245,1,15344,50,42,308,120393,12
8466378,2007-2008,Regular Season,25,63,58,8,83,12,-23,847,241,32,34,495,45,229,63,38,65,12,20553,37,8712,215,26,478,119477,13
8465058,2007-2008,Regular Season,13,185,25,160,38,164,0,343,127,210,93,159,129,28,55,66,58,22,18176,74,14297,75,80,98,117863,14
8471242,2007-2008,Regular Season,18,117,38,58,56,74,6,139,234,36,94,154,68,141,85,7,53,35,23103,13,1706,446,62,171,116301,15
8468484,2007-2008,Regular Season,6,364,12,372,18,366,7,130,130,201,107,115,110,55,17,438,20,368,10391,230,16716,31,60,178,114197,16
8466142,2007-2008,Regular Season,1,609,21,212,22,312,-18,832,101,299,92,166,123,36,47,104,27,247,13323,164,16905,29,91,68,113780,17
8471214,2007-2008,Regular Season,65,1,47,29,112,1,28,7,446,1,220,9,44,230,93,3,68,9,27911,2,789,519,40,334,113659,18
8470613,2007-2008,Regular Season,15,153,28,125,43,128,12,66,158,134,99,139,73,129,65,34,61,17,15530,122,12725,103,80,99,113636,19
8459670,2007-2008,Regular Season,8,295,36,69,44,123,0,340,125,219,64,301,129,29,56,64,26,262,23734,11,15137,58,50,245,113171,20
8468598,2007-2008,Regular Season,8,305,33,85,41,140,-18,831,153,144,60,322,118,45,91,5,40,103,22556,17,6961,264,34,394,113139,21
8460770,2007-2008,Regular Season,4,433,23,183,27,259,-4,597,87,357,42,433,121,39,47,105,28,232,10093,239,15191,54,42,309,112558,22
8459424,2007-2008,Regular Season,12,208,31,97,43,127,-1,410,182,95,74,247,99,77,37,179,39,118,21405,24,18176,15,128,25,112321,23
