Season,SeasonType,PlayerId,PlayerName,SumOfSumOfImpact,SSIRank
2013-2014,Regular Season,8474600,Roman Josi,11.58436339,97
2013-2014,Regular Season,8473914,Mark Letestu,11.57199844,98
2013-2014,Regular Season,8470274,Chris Higgins,11.51752845,99
2013-2014,Regular Season,8476454,Ryan Nugent-Hopkins,11.45131797,100
2013-2014,Regular Season,8468504,Brad Boyes,11.44720809,101
2013-2014,Regular Season,8464989,Matt Cullen,11.21430564,102
2013-2014,Regular Season,8474031,Kevin Shattenkirk,11.21364601,103
2013-2014,Regular Season,8467330,David Legwand,11.20350091,104
2013-2014,Regular Season,8470598,Thomas Vanek,11.19555462,105
2013-2014,Regular Season,8475784,Jeff Skinner,11.13599846,106
2013-2014,Regular Season,8476460,Mark Scheifele,11.02517464,107
2013-2014,Regular Season,8474590,John Carlson,10.95718108,108
2013-2014,Regular Season,8474190,Wayne Simmonds,10.90296203,109
2013-2014,Regular Season,8476459,Mika Zibanejad,10.70265759,110
2013-2014,Regular Season,8470599,Milan Michalek,10.60404787,111
2013-2014,Regular Season,8475225,Craig Smith,10.55885429,112
2013-2014,Regular Season,8467407,Brian Gionta,10.55710021,113
2013-2014,Regular Season,8470281,Duncan Keith,10.5254249,114
2013-2014,Regular Season,8471217,Andrew Ladd,10.40377523,115
2013-2014,Regular Season,8470613,Brent Burns,10.36716941,116
2013-2014,Regular Season,8475163,Alex Chiasson,10.3623421,117
2013-2014,Regular Season,8476438,Brandon Saad,10.24579565,118
2013-2014,Regular Season,8474565,Alex Pietrangelo,10.14295571,119
2013-2014,Regular Season,8471309,Johan Franzen,10.13937084,120
2013-2014,Regular Season,8469466,Ales Hemsky,10.09292582,121
2013-2014,Regular Season,8475231,Casey Cizikas,10.05577144,122
2013-2014,Regular Season,8474056,P.K. Subban,10.04777189,123
2013-2014,Regular Season,8475169,Evander Kane,9.942636291,124
2013-2014,Regular Season,8474739,Tommy Wingels,9.891430381,125
2013-2014,Regular Season,8470834,Dustin Byfuglien,9.815073273,126
2013-2014,Regular Season,8475760,Nick Bjugstad,9.778715736,127
2013-2014,Regular Season,8470039,Tomas Fleischmann,9.661243188,128
2013-2014,Regular Season,8460621,Daniel Alfredsson,9.61087978,129
2013-2014,Regular Season,8467967,Chris Kelly,9.57395405,130
2013-2014,Regular Season,8468505,Steve Ott,9.555374699,131
2013-2014,Regular Season,8471976,David Desharnais,9.543990966,132
2013-2014,Regular Season,8474715,Cam Atkinson,9.439193238,133
2013-2014,Regular Season,8470755,Brad Richardson,9.406094324,134
2013-2014,Regular Season,8467400,Francois Beauchemin,9.398675923,135
2013-2014,Regular Season,8476292,Ondrej Palat,9.260331993,136
2013-2014,Regular Season,8475745,Charlie Coyle,9.238985843,137
2013-2014,Regular Season,8476455,Gabriel Landeskog,9.230323894,138
2013-2014,Regular Season,8477492,Nathan MacKinnon,9.222247598,139
2013-2014,Regular Season,8459442,Saku Koivu,9.221864056,140
2013-2014,Regular Season,8471804,Nathan Gerbe,9.198259282,141
2013-2014,Regular Season,8466285,Brian Campbell,9.193935982,142
2013-2014,Regular Season,8474161,Jakub Voracek,9.18755799,143
2013-2014,Regular Season,8468208,Joel Ward,9.133278759,144
2013-2014,Regular Season,8475171,Oliver Ekman-Larsson,9.12863794,145
2013-2014,Regular Season,8471339,Ryan Callahan,9.086751316,146
2013-2014,Regular Season,8473986,Alex Killorn,9.051248752,147
2013-2014,Regular Season,8471887,Patric Hornqvist,8.989205986,148
2013-2014,Regular Season,8470852,Matt Moulson,8.964703183,149
2013-2014,Regular Season,8466251,Jason Chimera,8.919826151,150
2013-2014,Regular Season,8475692,Mats Zuccarello,8.919588007,151
2013-2014,Regular Season,8474679,Gustav Nyquist,8.82708922,152
2013-2014,Regular Season,8468486,Scott Hartnell,8.824556989,153
2013-2014,Regular Season,8475753,Justin Faulk,8.804332296,154
2013-2014,Regular Season,8471699,Andrew Cogliano,8.792860089,155
2013-2014,Regular Season,8477290,Michael Raffl,8.711249742,156
2013-2014,Regular Season,8471390,Mike Santorelli,8.670976416,157
2013-2014,Regular Season,8475181,Nick Leddy,8.640597857,158
2013-2014,Regular Season,8469485,Derek Roy,8.59316562,159
2013-2014,Regular Season,8473537,Viktor Stalberg,8.583244233,160
2013-2014,Regular Season,8470120,Alexander Semin,8.543221369,161
2013-2014,Regular Season,8473534,Patrik Berglund,8.523382889,162
2013-2014,Regular Season,8466140,Olli Jokinen,8.514019783,163
2013-2014,Regular Season,8469508,Jay McClement,8.508021488,164
2013-2014,Regular Season,8474586,Jordan Eberle,8.421491971,165
2013-2014,Regular Season,8471664,Mason Raymond,8.419792529,166
2013-2014,Regular Season,8468483,Marian Gaborik,8.368803708,167
2013-2014,Regular Season,8475167,Victor Hedman,8.344777896,168
2013-2014,Regular Season,8474564,Steven Stamkos,8.328076236,169
2013-2014,Regular Season,8476381,Andrew Shaw,8.323549928,170
2013-2014,Regular Season,8471862,Colin Greening,8.255706939,171
2013-2014,Regular Season,8475170,Brayden Schenn,8.202343993,172
2013-2014,Regular Season,8465009,Zdeno Chara,8.192312352,173
2013-2014,Regular Season,8473544,Derick Brassard,8.164928134,174
2013-2014,Regular Season,8476878,Zemgus Girgensons,8.115013468,175
2013-2014,Regular Season,8471735,Keith Yandle,8.077000636,176
2013-2014,Regular Season,8475848,Brendan Gallagher,8.036234525,177
2013-2014,Regular Season,8469555,Christian Ehrhoff,8.034837082,178
2013-2014,Regular Season,8475151,Kyle Palmieri,8.015497209,179
2013-2014,Regular Season,8477496,Elias Lindholm,8.003676789,180
2013-2014,Regular Season,8470105,Scottie Upshall,7.977997772,181
2013-2014,Regular Season,8471729,Kris Russell,7.976036663,182
2013-2014,Regular Season,8474716,Jared Spurgeon,7.954638001,183
2013-2014,Regular Season,8470602,Dion Phaneuf,7.945324875,184
2013-2014,Regular Season,8458537,Ray Whitney,7.94408114,185
2013-2014,Regular Season,8475197,Tyson Barrie,7.865542514,186
2013-2014,Regular Season,8473533,Jordan Staal,7.844184467,187
2013-2014,Regular Season,8477059,Damien Brunner,7.840105016,188
2013-2014,Regular Season,8474673,TJ Brodie,7.725610657,189
2013-2014,Regular Season,8468509,Niklas Kronwall,7.714727209,190
2013-2014,Regular Season,8475754,Brock Nelson,7.690525202,191
2013-2014,Regular Season,8470775,Nate Thompson,7.655768323,192
2013-2014,Regular Season,8474250,Zack Smith,7.600237035,193
2013-2014,Regular Season,8467331,Brad Stuart,7.565457394,194
2013-2014,Regular Season,8470966,Mark Giordano,7.549615826,195
2013-2014,Regular Season,8467371,Mike Ribeiro,7.540773203,196
2013-2014,Regular Season,8474498,Jesse Winchester,7.480133703,197
2013-2014,Regular Season,8467329,Vincent Lecavalier,7.414825479,198
2013-2014,Regular Season,8471303,Alexander Edler,7.409697353,199
2013-2014,Regular Season,8470828,Toby Enstrom,7.407796156,200
2013-2014,Regular Season,8473446,Erik Johnson,7.406367709,201
2013-2014,Regular Season,8460542,Patrik Elias,7.382268133,202
2013-2014,Regular Season,8470187,Johnny Boychuk,7.364000308,203
2013-2014,Regular Season,8471476,Daniel Winnik,7.344208218,204
2013-2014,Regular Season,8468526,Jarret Stoll,7.339285594,205
2013-2014,Regular Season,8473492,Matt Beleskey,7.333424226,206
2013-2014,Regular Season,8469469,R.J. Umberger,7.329971424,207
2013-2014,Regular Season,8471262,Carl Soderberg,7.293876447,208
2013-2014,Regular Season,8471682,Devin Setoguchi,7.266794291,209
2013-2014,Regular Season,8472410,Stephen Gionta,7.254890885,210
2013-2014,Regular Season,8469473,Marcel Goc,7.2155022,211
