Season,SeasonType,PlayerId,PlayerName,SumOfSumOfImpact,SSIRank
2008-2009,Regular Season,8471675,Sidney Crosby,33.43866181,1
2008-2009,Regular Season,8470604,Jeff Carter,32.44268936,2
2008-2009,Regular Season,8470595,Eric Staal,27.64598361,3
2008-2009,Regular Season,8462042,Jarome Iginla,26.01752012,4
2008-2009,Regular Season,8469485,Derek Roy,25.46996872,5
2008-2009,Regular Season,8471214,Alex Ovechkin,24.32630954,6
2008-2009,Regular Season,8467329,Vincent Lecavalier,24.1282435,7
2008-2009,Regular Season,8470041,Rick Nash,23.96571512,8
2008-2009,Regular Season,8470610,Zach Parise,23.80923913,9
2008-2009,Regular Season,8466392,Todd White,23.67735113,10
2008-2009,Regular Season,8460562,Chris Drury,22.77607113,11
2008-2009,Regular Season,8470617,Mike Richards,22.70534205,12
2008-2009,Regular Season,8467514,Pavel Datsyuk,22.08029414,13
2008-2009,Regular Season,8468083,Henrik Zetterberg,21.78620867,14
2008-2009,Regular Season,8467371,Mike Ribeiro,20.57643759,15
2008-2009,Regular Season,8459442,Saku Koivu,20.36274905,16
2008-2009,Regular Season,8473604,Jonathan Toews,20.25239125,17
2008-2009,Regular Season,8470612,Ryan Getzlaf,20.13949817,18
2008-2009,Regular Season,8469521,Tomas Plekanec,19.96372197,19
2008-2009,Regular Season,8469459,Mikko Koivu,19.80145095,20
2008-2009,Regular Season,8467351,Scott Gomez,19.54251123,21
2008-2009,Regular Season,8467844,Jason Blake,19.27983994,22
2008-2009,Regular Season,8469506,Jason Pominville,19.23005768,23
2008-2009,Regular Season,8469469,R.J. Umberger,19.16713527,24
2008-2009,Regular Season,8471685,Anze Kopitar,19.08890418,25
2008-2009,Regular Season,8469457,Stephen Weiss,18.77688422,26
2008-2009,Regular Season,8467875,Daniel Sedin,18.51865409,27
2008-2009,Regular Season,8462038,Shane Doan,18.19043452,28
2008-2009,Regular Season,8460496,Ryan Smyth,17.96798497,29
2008-2009,Regular Season,8466139,Patrick Marleau,17.95272758,30
2008-2009,Regular Season,8466378,Martin St. Louis,17.70492763,31
2008-2009,Regular Season,8457981,Teemu Selanne,17.6817827,32
2008-2009,Regular Season,8459457,Jamie Langenbrunner,17.42448114,33
2008-2009,Regular Season,8466140,Olli Jokinen,17.39626313,34
2008-2009,Regular Season,8470606,Dustin Brown,16.88054489,35
2008-2009,Regular Season,8468482,Dany Heatley,16.84348541,36
2008-2009,Regular Season,8466148,Marian Hossa,16.77785573,37
2008-2009,Regular Season,8467899,Martin Havlat,16.7216179,38
2008-2009,Regular Season,8473548,Phil Kessel,16.65711343,39
2008-2009,Regular Season,8473563,Nicklas Backstrom,16.55845486,40
2008-2009,Regular Season,8468500,Alex Frolov,16.50334231,41
2008-2009,Regular Season,8470654,Maxim Lapierre,16.48485681,42
2008-2009,Regular Season,8471276,David Krejci,16.20774115,43
2008-2009,Regular Season,8459429,Jason Arnott,16.20114106,44
2008-2009,Regular Season,8470120,Alexander Semin,16.13539895,45
2008-2009,Regular Season,8460577,Milan Hejduk,16.1298614,46
2008-2009,Regular Season,8470794,Joe Pavelski,15.99577563,47
2008-2009,Regular Season,8471233,Travis Zajac,15.42778123,48
2008-2009,Regular Season,8474141,Patrick Kane,15.27191685,49
2008-2009,Regular Season,8460542,Patrik Elias,15.23844174,50
2008-2009,Regular Season,8467407,Brian Gionta,15.18659592,51
2008-2009,Regular Season,8469544,Patrick Sharp,15.10970624,52
2008-2009,Regular Season,8471215,Evgeni Malkin,15.0616583,53
2008-2009,Regular Season,8469455,Jason Spezza,14.68991004,54
2008-2009,Regular Season,8462118,Marc Savard,14.66175657,55
2008-2009,Regular Season,8469500,Mike Cammalleri,14.52545828,56
2008-2009,Regular Season,8467878,Tim Connolly,14.51891913,57
2008-2009,Regular Season,8470151,Jay Bouwmeester,14.38302702,58
2008-2009,Regular Season,8449645,Mike Modano,14.37924324,59
2008-2009,Regular Season,8468704,Antti Miettinen,14.32589934,60
2008-2009,Regular Season,8458530,Markus Naslund,14.21210224,61
2008-2009,Regular Season,8471242,Mike Green,13.88708537,62
2008-2009,Regular Season,8468695,Matthew Lombardi,13.85896611,63
2008-2009,Regular Season,8469466,Ales Hemsky,13.70178284,64
2008-2009,Regular Season,8470596,Nathan Horton,13.6862796,65
2008-2009,Regular Season,8445735,Rod Brind'Amour,13.67298388,66
2008-2009,Regular Season,8458229,Keith Tkachuk,13.63974722,67
2008-2009,Regular Season,8468504,Brad Boyes,13.57327149,68
2008-2009,Regular Season,8466215,Joe Corvo,13.45441366,69
2008-2009,Regular Season,8455919,Craig Conroy,13.24101006,70
2008-2009,Regular Season,8467876,Henrik Sedin,13.13277136,71
2008-2009,Regular Season,8460465,Petr Sykora,13.09902098,72
2008-2009,Regular Season,8471218,Blake Wheeler,12.9894812,73
2008-2009,Regular Season,8467389,Brad Richards,12.90478846,74
2008-2009,Regular Season,8464967,Marty Reasoner,12.82202915,75
2008-2009,Regular Season,8467423,Shawn Horcoff,12.72550527,76
2008-2009,Regular Season,8467353,Nik Antropov,12.71909664,77
2008-2009,Regular Season,8470207,Joffrey Lupul,12.63495796,78
2008-2009,Regular Season,8470616,Ryan Kesler,12.52355909,79
2008-2009,Regular Season,8471217,Andrew Ladd,12.43663734,80
2008-2009,Regular Season,8470169,Gregory Campbell,12.41791113,81
2008-2009,Regular Season,8471266,David Booth,12.14196449,82
2008-2009,Regular Season,8470626,Loui Eriksson,12.09460298,83
2008-2009,Regular Season,8471226,Drew Stafford,11.85526002,84
2008-2009,Regular Season,8467412,Alexei Ponikarovsky,11.73913301,85
2008-2009,Regular Season,8470642,Shea Weber,11.70985346,86
2008-2009,Regular Season,8470649,Patrick O'Sullivan,11.7047936,87
2008-2009,Regular Season,8467545,Michael Ryder,11.70350985,88
2008-2009,Regular Season,8470655,David Backes,11.6568313,89
2008-2009,Regular Season,8469454,Ilya Kovalchuk,11.61787802,90
2008-2009,Regular Season,8467330,David Legwand,11.60046797,91
2008-2009,Regular Season,8460621,Daniel Alfredsson,11.58227032,92
2008-2009,Regular Season,8462036,Daymond Langkow,11.57868112,93
2008-2009,Regular Season,8473412,Bryan Little,11.47270851,94
2008-2009,Regular Season,8471309,Johan Franzen,11.43696233,95
2008-2009,Regular Season,8470299,Erik Christensen,11.28894163,96
2008-2009,Regular Season,8471245,Dave Bolland,11.20877085,97
2008-2009,Regular Season,8466035,Sergei Samsonov,11.15483123,98
2008-2009,Regular Season,8465050,Eric Belanger,11.11363399,99
2008-2009,Regular Season,8467096,Dan Boyle,11.05324725,100
2008-2009,Regular Season,8470803,Kyle Brodziak,10.95952135,101
2008-2009,Regular Season,8469483,David Steckel,10.94664039,102
2008-2009,Regular Season,8469639,Brooks Laich,10.89873063,103
2008-2009,Regular Season,8469508,Jay McClement,10.7754751,104
2008-2009,Regular Season,8456464,Bill Guerin,10.68664869,105
2008-2009,Regular Season,8459640,Michael Grier,10.66479784,106
2008-2009,Regular Season,8458529,Alex Kovalev,10.65363885,107
2008-2009,Regular Season,8467502,Ales Kotalik,10.6252262,108
2008-2009,Regular Season,8470598,Thomas Vanek,10.60381568,109
2008-2009,Regular Season,8468432,Steve Reinprecht,10.53918278,110
2008-2009,Regular Season,8471691,Martin Hanzal,10.47777142,111
2008-2009,Regular Season,8470638,Patrice Bergeron,10.42431869,112
2008-2009,Regular Season,8456966,Robert Lang,10.39428327,113
2008-2009,Regular Season,8460735,Richard Zednik,10.33859363,114
2008-2009,Regular Season,8468789,Jason Williams,10.31951214,115
2008-2009,Regular Season,8468509,Niklas Kronwall,10.30442056,116
2008-2009,Regular Season,8469581,Kyle Wellwood,10.28822786,117
2008-2009,Regular Season,8471362,Mikhail Grabovski,10.28633638,118
2008-2009,Regular Season,8467346,Simon Gagne,10.10808713,119
2008-2009,Regular Season,8470597,Nikolay Zherdev,10.09618935,120
2008-2009,Regular Season,8464966,Derek Morris,10.0348663,121
2008-2009,Regular Season,8474564,Steven Stamkos,9.99156724,122
2008-2009,Regular Season,8471669,Paul Stastny,9.891962191,123
2008-2009,Regular Season,8468535,Antoine Vermette,9.886808354,124
2008-2009,Regular Season,8462196,Stephane Robidas,9.885892785,125
2008-2009,Regular Season,8466138,Joe Thornton,9.777123533,126
2008-2009,Regular Season,8466181,Kristian Huselius,9.59946806,127
2008-2009,Regular Season,8469462,Tuomo Ruutu,9.381733866,128
2008-2009,Regular Season,8474068,Kyle Turris,9.35402834,129
2008-2009,Regular Season,8470257,Alexander Steen,9.253996259,130
2008-2009,Regular Season,8462129,Michal Handzus,9.215827887,131
2008-2009,Regular Season,8449895,Owen Nolan,9.017642985,132
2008-2009,Regular Season,8471676,Bobby Ryan,9.0025803,133
2008-2009,Regular Season,8468635,Travis Moen,8.981137194,134
2008-2009,Regular Season,8471504,Rene Bourque,8.957584017,135
2008-2009,Regular Season,8451774,Mats Sundin,8.930267592,136
2008-2009,Regular Season,8469664,David Moss,8.921269225,137
2008-2009,Regular Season,8468483,Marian Gaborik,8.887426772,138
2008-2009,Regular Season,8470621,Corey Perry,8.885217002,139
2008-2009,Regular Season,8468493,Ron Hainsey,8.823439836,140
2008-2009,Regular Season,8474573,Josh Bailey,8.813206579,141
2008-2009,Regular Season,8471311,Tyler Kennedy,8.808712796,142
2008-2009,Regular Season,8470834,Dustin Byfuglien,8.705410921,143
2008-2009,Regular Season,8462033,Wade Redden,8.690164628,144
2008-2009,Regular Season,8471346,Kris Versteeg,8.674127574,145
2008-2009,Regular Season,8470153,Pierre-Marc Bouchard,8.644632468,146
2008-2009,Regular Season,8464989,Matt Cullen,8.643393239,147
2008-2009,Regular Season,8473449,Kyle Okposo,8.615552341,148
2008-2009,Regular Season,8470601,Braydon Coburn,8.6144665,149
2008-2009,Regular Season,8473504,Cal Clutterbuck,8.59903696,150
2008-2009,Regular Season,8465009,Zdeno Chara,8.503517826,151
2008-2009,Regular Season,8469770,Dennis Wideman,8.493612829,152
2008-2009,Regular Season,8460561,Sheldon Souray,8.469657277,153
2008-2009,Regular Season,8470176,Sean Bergenheim,8.392200311,154
2008-2009,Regular Season,8469638,Jussi Jokinen,8.379041364,155
2008-2009,Regular Season,8465058,Michal Rozsival,8.376961225,156
2008-2009,Regular Season,8458537,Ray Whitney,8.332100586,157
2008-2009,Regular Season,8460719,Steve Sullivan,8.325515548,158
2008-2009,Regular Season,8470603,Andrei Kostitsyn,8.317118561,159
2008-2009,Regular Season,8471514,Rich Peverley,8.30334948,160
2008-2009,Regular Season,8466371,John Madden,8.162435741,161
2008-2009,Regular Season,8467334,Manny Malhotra,8.154793168,162
2008-2009,Regular Season,8470192,Steve Eminger,8.154275356,163
2008-2009,Regular Season,8468598,Lubomir Visnovsky,8.148580469,164
2008-2009,Regular Season,8470265,Anton Babchuk,8.097672785,165
2008-2009,Regular Season,8471234,Wojtek Wolski,8.07144812,166
2008-2009,Regular Season,8468526,Jarret Stoll,8.018003676,167
2008-2009,Regular Season,8457063,Nicklas Lidstrom,8.004655928,168
2008-2009,Regular Season,8469670,Marek Svatos,7.973298317,169
2008-2009,Regular Season,8467943,Niklas Hagman,7.955404215,170
2008-2009,Regular Season,8450725,Mark Recchi,7.851653649,171
2008-2009,Regular Season,8468434,Andy McDonald,7.843354874,172
2008-2009,Regular Season,8459574,Darcy Tucker,7.812557453,173
2008-2009,Regular Season,8465202,Sami Salo,7.789257748,174
2008-2009,Regular Season,8445550,Rob Blake,7.769225438,175
2008-2009,Regular Season,8473526,Peter Mueller,7.766517956,176
2008-2009,Regular Season,8469812,Chad LaRose,7.764784467,177
2008-2009,Regular Season,8469765,Marc-Andre Bergeron,7.70822074,178
2008-2009,Regular Season,8469464,Fredrik Sjostrom,7.7018002,179
2008-2009,Regular Season,8470201,Jiri Hudler,7.698456914,180
2008-2009,Regular Season,8469622,Ryane Clowe,7.68901464,181
2008-2009,Regular Season,8460541,Richard Park,7.666406113,182
2008-2009,Regular Season,8467964,Mike Comrie,7.665186036,183
2008-2009,Regular Season,8469623,Marek Zidlicky,7.654153611,184
2008-2009,Regular Season,8469492,Fedor Tyutin,7.624684572,185
2008-2009,Regular Season,8465192,Samuel Pahlsson,7.568782502,186
2008-2009,Regular Season,8467396,Erik Cole,7.474725112,187
2008-2009,Regular Season,8459024,Jere Lehtinen,7.430079689,188
2008-2009,Regular Season,8467357,Jonathan Cheechoo,7.364223252,189
2008-2009,Regular Season,8446788,Sergei Fedorov,7.348236101,190
2008-2009,Regular Season,8470599,Milan Michalek,7.316222462,191
2008-2009,Regular Season,8458943,Cory Stillman,7.308778462,192
2008-2009,Regular Season,8473564,Michael Frolik,7.294069561,193
2008-2009,Regular Season,8471216,Cam Barker,7.270079931,194
2008-2009,Regular Season,8460105,Radek Bonk,7.269207491,195
2008-2009,Regular Season,8470609,Steve Bernier,7.256960531,196
2008-2009,Regular Season,8470230,Daniel Paille,7.250459985,197
2008-2009,Regular Season,8467915,Mike Commodore,7.104478893,198
2008-2009,Regular Season,8471664,Mason Raymond,7.100341255,199
2008-2009,Regular Season,8468208,Joel Ward,7.058541166,200
2008-2009,Regular Season,8470162,Matt Stajan,7.032387261,201
2008-2009,Regular Season,8465170,Fernando Pisani,7.022474283,202
2008-2009,Regular Season,8467967,Chris Kelly,7.017217778,203
2008-2009,Regular Season,8459462,Bryan McCabe,6.977571889,204
2008-2009,Regular Season,8458590,Mike Knuble,6.962887766,205
2008-2009,Regular Season,8469619,Dennis Seidenberg,6.899162466,206
2008-2009,Regular Season,8459428,Viktor Kozlov,6.884368944,207
2008-2009,Regular Season,8468517,Andy Hilbert,6.879419391,208
2008-2009,Regular Season,8469598,Kevin Bieksa,6.879348167,209
2008-2009,Regular Season,8473485,Chris Stewart,6.870565876,210
2008-2009,Regular Season,8470358,Alexandre Burrows,6.795985393,211
2008-2009,Regular Season,8459479,Ville Peltonen,6.791992586,212
2008-2009,Regular Season,8458938,Roman Hamrlik,6.725639669,213
2008-2009,Regular Season,8470054,Keith Ballard,6.723028007,214
2008-2009,Regular Season,8474552,Fabian Brunnstrom,6.707465811,215
2008-2009,Regular Season,8459492,Vinny Prospal,6.705956114,216
2008-2009,Regular Season,8471729,Kris Russell,6.701448946,217
2008-2009,Regular Season,8471707,James Neal,6.686179889,218
2008-2009,Regular Season,8464994,Steve Begin,6.574665874,219
2008-2009,Regular Season,8459444,Todd Bertuzzi,6.545444795,220
2008-2009,Regular Season,8470613,Brent Burns,6.525197822,221
2008-2009,Regular Season,8466285,Brian Campbell,6.471365646,222
2008-2009,Regular Season,8462209,P.J. Axelsson,6.412839399,223
2008-2009,Regular Season,8470740,Lee Stempniak,6.38623684,224
2008-2009,Regular Season,8456887,Vyacheslav Kozlov,6.384837405,225
2008-2009,Regular Season,8467483,Tyler Arnason,6.351043073,226
2008-2009,Regular Season,8470289,Jim Slater,6.30888887,227
2008-2009,Regular Season,8460527,Ryan Johnson,6.296418642,228
2008-2009,Regular Season,8470274,Chris Higgins,6.251671015,229
2008-2009,Regular Season,8469555,Christian Ehrhoff,6.219135823,230
2008-2009,Regular Season,8471426,Troy Brouwer,6.206938502,231
2008-2009,Regular Season,8464957,J-P Dumont,6.154557142,232
2008-2009,Regular Season,8446485,Kris Draper,6.133607128,233
2008-2009,Regular Season,8469759,Vernon Fiddler,6.120594874,234
2008-2009,Regular Season,8459648,Pavol Demitra,6.118404736,235
2008-2009,Regular Season,8471682,Devin Setoguchi,6.116931286,236
2008-2009,Regular Season,8459427,Rob Niedermayer,6.116734637,237
2008-2009,Regular Season,8470171,Maxime Talbot,6.10016326,238
2008-2009,Regular Season,8468542,Paul Martin,6.086716807,239
2008-2009,Regular Season,8471310,Dustin Boyd,6.038157898,240
2008-2009,Regular Season,8468505,Steve Ott,6.025551581,241
2008-2009,Regular Season,8458361,Doug Weight,6.005669566,242
2008-2009,Regular Season,8466399,Eric Perrin,5.981514304,243
2008-2009,Regular Season,8470631,Kamil Kreps,5.946751813,244
2008-2009,Regular Season,8465914,Francis Bouillon,5.867908394,245
2008-2009,Regular Season,8467890,Barret Jackman,5.783449651,246
2008-2009,Regular Season,8466149,Daniel Cleary,5.77640458,247
2008-2009,Regular Season,8471284,Andrej Sekera,5.762108026,248
2008-2009,Regular Season,8471753,T.J. Hensick,5.733928044,249
2008-2009,Regular Season,8468508,Justin Williams,5.732384717,250
2008-2009,Regular Season,8470137,Joni Pitkanen,5.718511574,251
2008-2009,Regular Season,8467988,Ryan Malone,5.709729117,252
2008-2009,Regular Season,8474102,David Perron,5.635839688,253
2008-2009,Regular Season,8462823,Glen Metropolit,5.633504,254
2008-2009,Regular Season,8469665,Johnny Oduya,5.617372189,255
2008-2009,Regular Season,8459587,Todd Marchant,5.605630285,256
2008-2009,Regular Season,8470611,Eric Fehr,5.565805875,257
2008-2009,Regular Season,8450978,Jeremy Roenick,5.539356731,258
2008-2009,Regular Season,8464977,Dainius Zubrus,5.507116109,259
2008-2009,Regular Season,8460770,Kim Johnsson,5.453823294,260
2008-2009,Regular Season,8470047,Valtteri Filppula,5.418268499,261
2008-2009,Regular Season,8460743,Tomas Holmstrom,5.415306757,262
2008-2009,Regular Season,8469467,Chuck Kobasew,5.373919388,263
2008-2009,Regular Season,8470662,Colin Fraser,5.366893985,264
2008-2009,Regular Season,8471709,Marc-Edouard Vlasic,5.365819297,265
2008-2009,Regular Season,8469476,Tim Gleason,5.357458266,266
2008-2009,Regular Season,8459454,Jay Pandolfo,5.340125015,267
2008-2009,Regular Season,8462077,Jochen Hecht,5.331431564,268
2008-2009,Regular Season,8471229,Petteri Nokelainen,5.304086302,269
2008-2009,Regular Season,8471274,Alex Goligoski,5.28371708,270
2008-2009,Regular Season,8469542,Stephane Veilleux,5.268652541,271
2008-2009,Regular Season,8458525,Brian Rolston,5.254541935,272
2008-2009,Regular Season,8474040,Sam Gagner,5.245927824,273
2008-2009,Regular Season,8471263,Enver Lisin,5.217493256,274
2008-2009,Regular Season,8470667,Clarke MacArthur,5.214826429,275
2008-2009,Regular Season,8468486,Scott Hartnell,5.187784136,276
2008-2009,Regular Season,8471958,Dan Girardi,5.178817457,277
2008-2009,Regular Season,8470678,Alexandre Picard,5.165991797,278
2008-2009,Regular Season,8460503,Mattias Ohlund,5.127438428,279
2008-2009,Regular Season,8465042,Toni Lydman,5.119650231,280
2008-2009,Regular Season,8471699,Andrew Cogliano,5.07230165,281
2008-2009,Regular Season,8470105,Scottie Upshall,5.040538299,282
2008-2009,Regular Season,8467393,Jarkko Ruutu,5.039990006,283
2008-2009,Regular Season,8469470,Carlo Colaiacovo,5.035334766,284
2008-2009,Regular Season,8467370,Mike Fisher,5.004690238,285
2008-2009,Regular Season,8470741,Nigel Dawes,4.850695058,286
2008-2009,Regular Season,8471670,Guillaume Latendresse,4.847094966,287
2008-2009,Regular Season,8473682,Andrew Ebbett,4.827956664,288
2008-2009,Regular Season,8471724,Kris Letang,4.815303117,289
2008-2009,Regular Season,8470602,Dion Phaneuf,4.809154311,290
2008-2009,Regular Season,8468700,Paul Gaustad,4.793734378,291
2008-2009,Regular Season,8471185,Curtis Glencross,4.775674377,292
