Season,SeasonType,PlayerId,PlayerName,SumOfSumOfImpact,SSIRank
2009-2010,Regular Season,8471675,Sidney Crosby,28.1167216,1
2009-2010,Regular Season,8473604,Jonathan Toews,25.65786547,2
2009-2010,Regular Season,8471685,Anze Kopitar,24.00059304,3
2009-2010,Regular Season,8471669,Paul Stastny,22.71779633,4
2009-2010,Regular Season,8470604,Jeff Carter,22.20991208,5
2009-2010,Regular Season,8473563,Nicklas Backstrom,22.07758018,6
2009-2010,Regular Season,8471214,Alex Ovechkin,22.01244138,7
2009-2010,Regular Season,8468083,Henrik Zetterberg,21.91308481,8
2009-2010,Regular Season,8473548,Phil Kessel,21.87188762,9
2009-2010,Regular Season,8464989,Matt Cullen,21.65939643,10
2009-2010,Regular Season,8471233,Travis Zajac,21.38203034,11
2009-2010,Regular Season,8467329,Vincent Lecavalier,21.18766804,12
2009-2010,Regular Season,8469455,Jason Spezza,21.11708332,13
2009-2010,Regular Season,8469457,Stephen Weiss,21.06745643,14
2009-2010,Regular Season,8469459,Mikko Koivu,20.80918466,15
2009-2010,Regular Season,8470638,Patrice Bergeron,20.79118607,16
2009-2010,Regular Season,8459429,Jason Arnott,20.74340892,17
2009-2010,Regular Season,8470595,Eric Staal,20.27803889,18
2009-2010,Regular Season,8474564,Steven Stamkos,20.21024012,19
2009-2010,Regular Season,8469454,Ilya Kovalchuk,20.14162517,20
2009-2010,Regular Season,8469521,Tomas Plekanec,19.9930102,21
2009-2010,Regular Season,8467514,Pavel Datsyuk,19.83923358,22
2009-2010,Regular Season,8469485,Derek Roy,19.82168959,23
2009-2010,Regular Season,8466139,Patrick Marleau,19.55958848,24
2009-2010,Regular Season,8467389,Brad Richards,19.21068874,25
2009-2010,Regular Season,8462042,Jarome Iginla,18.73168812,26
2009-2010,Regular Season,8470120,Alexander Semin,18.53998491,27
2009-2010,Regular Season,8468483,Marian Gaborik,18.21593709,28
2009-2010,Regular Season,8470610,Zach Parise,18.05502329,29
2009-2010,Regular Season,8469544,Patrick Sharp,17.96853545,30
2009-2010,Regular Season,8471208,Dustin Penner,17.67144899,31
2009-2010,Regular Season,8470041,Rick Nash,17.53637069,32
2009-2010,Regular Season,8467876,Henrik Sedin,17.46774261,33
2009-2010,Regular Season,8459457,Jamie Langenbrunner,16.82857185,34
2009-2010,Regular Season,8471339,Ryan Callahan,16.79679599,35
2009-2010,Regular Season,8457981,Teemu Selanne,15.94222195,36
2009-2010,Regular Season,8467351,Scott Gomez,15.83189004,37
2009-2010,Regular Season,8466140,Olli Jokinen,15.65517937,38
2009-2010,Regular Season,8469506,Jason Pominville,15.65507257,39
2009-2010,Regular Season,8469639,Brooks Laich,15.58617723,40
2009-2010,Regular Season,8471514,Rich Peverley,15.4892677,41
2009-2010,Regular Season,8470794,Joe Pavelski,15.33702626,42
2009-2010,Regular Season,8467878,Tim Connolly,15.10340345,43
2009-2010,Regular Season,8471676,Bobby Ryan,15.07148548,44
2009-2010,Regular Season,8471504,Rene Bourque,15.03074604,45
2009-2010,Regular Season,8468064,Martin Erat,14.97722375,46
2009-2010,Regular Season,8468482,Dany Heatley,14.95622235,47
2009-2010,Regular Season,8468434,Andy McDonald,14.75451695,48
2009-2010,Regular Season,8470612,Ryan Getzlaf,14.63162715,49
2009-2010,Regular Season,8470616,Ryan Kesler,14.51140999,50
2009-2010,Regular Season,8475168,Matt Duchene,14.48386489,51
2009-2010,Regular Season,8445550,Rob Blake,14.43598222,52
2009-2010,Regular Season,8459426,Paul Kariya,14.38951561,53
2009-2010,Regular Season,8467407,Brian Gionta,14.28626826,54
2009-2010,Regular Season,8471242,Mike Green,14.15015483,55
2009-2010,Regular Season,8469469,R.J. Umberger,14.10813768,56
