Season,SeasonType,PlayerId,PlayerName,SumOfSumOfImpact,ImpactRank,Goals,GoalsRank,Assists,AssistsRank,Points,PointsRank,PlusMinus,PlusMinusRank,Shots,ShotsRank,Hits,HitsRank,BlockedShots,BlockedShotsRank,Giveaways,GiveawaysRank,Takeaways,TakeawaysRank,PowerPlayTimeOnIce,PPTOIRank,ShortHandedTimeOnIce,SHTOIRank,PenaltyMinutes,PIMRank,TimeOnIce,TOIRank
2014-2015,"Regular Season",8470121,"Matt Greene",2.417445041,259,2,377,1,595,3,577,2,254,27,463,87,33,54,54,26,39,4,495,215,506,5699,25,38,38,33831,210
2014-2015,"Regular Season",8471233,"Travis Zajac",4.918942218,103,4,255,4,401,8,359,-6,658,39,345,21,465,12,419,18,129,13,205,4065,188,3364,180,10,383,33816,211
2014-2015,"Regular Season",8468526,"Jarret Stoll",4.346943934,130,3,305,9,205,12,248,9,59,44,290,76,53,28,177,8,402,6,436,2665,284,3980,108,32,67,33813,212
2014-2015,"Regular Season",8475790,"Erik Gudbranson",-0.981618694,774,1,530,4,428,5,465,2,248,48,264,77,50,28,176,9,371,0,695,2974,261,3786,131,31,76,33759,213
2014-2015,"Regular Season",8474715,"Cam Atkinson",5.964314468,75,8,114,6,295,14,218,-7,674,98,41,29,354,16,319,7,444,24,40,5266,124,1873,298,8,441,33691,214
2014-2015,"Regular Season",8474009,"Nick Bonino",5.17789317,96,8,108,13,106,21,99,4,147,72,117,11,585,33,151,14,213,24,35,3936,197,3352,181,10,384,33586,215
2014-2015,"Regular Season",8475191,"Reilly Smith",2.472414796,253,8,117,9,193,17,161,3,190,69,129,39,253,19,267,16,173,16,126,4160,180,56,588,8,466,33528,216
2014-2015,"Regular Season",8471339,"Ryan Callahan",6.860339559,50,10,58,15,63,25,52,4,145,76,101,72,67,19,261,9,374,19,98,6093,76,362,474,12,345,33487,217
2014-2015,"Regular Season",8474038,"Paul Byron",3.494227687,178,5,225,5,338,10,302,-3,555,47,270,61,98,17,296,12,271,29,9,1358,359,3076,202,6,499,33436,218
2014-2015,"Regular Season",8470630,"Kevin Klein",1.441259852,356,7,129,4,395,11,280,13,23,32,403,58,109,53,59,23,60,7,387,250,493,3489,173,12,321,33327,219
2014-2015,"Regular Season",8471699,"Andrew Cogliano",4.568896004,126,4,259,5,345,9,328,-6,656,64,164,57,113,12,413,18,128,13,204,276,485,3715,137,6,494,33312,220
2014-2015,"Regular Season",8474040,"Sam Gagner",7.247425992,43,5,226,11,160,16,174,-5,625,74,109,29,355,7,561,17,161,15,151,4816,145,32,616,18,208,33268,221
2014-2015,"Regular Season",8470828,"Toby Enstrom",0.07394219,588,1,481,8,239,9,313,-1,419,23,501,9,629,38,120,17,146,3,539,5688,97,4151,99,12,316,33162,222
2014-2015,"Regular Season",8470595,"Eric Staal",3.776830778,160,7,127,11,152,18,141,-9,714,86,68,20,472,13,398,14,222,15,153,4616,157,359,477,10,408,33091,223
2014-2015,"Regular Season",8473962,"Teddy Purcell",1.856072123,297,5,223,12,130,17,152,-17,766,49,261,11,586,4,634,14,231,20,82,4733,149,821,401,8,454,33087,224
2014-2015,"Regular Season",8473618,"Mathieu Perreault",8.186677368,29,8,107,9,192,17,160,1,265,67,142,36,282,8,523,11,324,22,62,5658,100,98,555,20,186,33072,225
2014-2015,"Regular Season",8474818,"Jordie Benn",-0.16860173,674,0,674,6,324,6,410,-8,701,31,423,34,308,44,88,21,79,5,455,1936,323,3320,183,22,149,32997,226
2014-2015,"Regular Season",8476292,"Ondrej Palat",1.83152188,302,7,148,14,88,21,97,16,9,57,207,48,172,28,178,20,96,22,53,3761,209,3369,179,16,229,32947,227
2014-2015,"Regular Season",8475760,"Nick Bjugstad",5.884489454,78,12,38,7,244,19,132,0,312,89,59,64,88,16,310,14,220,8,357,4457,166,1575,321,14,281,32895,228
2014-2015,"Regular Season",8474641,"Adam Henrique",4.669137606,117,9,81,11,147,20,119,0,310,50,252,23,445,22,230,9,373,15,162,3748,210,4233,92,6,490,32793,229
2014-2015,"Regular Season",8473544,"Derick Brassard",7.262819671,42,8,106,19,26,27,37,2,221,58,204,43,213,6,587,16,182,14,179,5697,96,782,406,12,340,32755,230
