Season,SeasonType,PlayerId,PlayerName,SumOfSumOfImpact,ImpactRank,Goals,GoalsRank,Assists,AssistsRank,Points,PointsRank,PlusMinus,PlusMinusRank,Shots,ShotsRank,Hits,HitsRank,BlockedShots,BlockedShotsRank,Giveaways,GiveawaysRank,Takeaways,TakeawaysRank,PowerPlayTimeOnIce,PPTOIRank,ShortHandedTimeOnIce,SHTOIRank,PenaltyMinutes,PIMRank,TimeOnIce,TOIRank
2014-2015,"Regular Season",8474074,"Paul Postma",1.268199866,377,2,402,3,467,5,472,2,250,33,393,12,570,21,245,17,153,15,149,1773,334,191,516,10,412,28923,310
2014-2015,"Regular Season",8470543,"Chris Kunitz",3.971845342,149,10,53,11,142,21,102,11,34,57,209,73,65,11,429,12,283,9,328,5429,114,298,491,12,346,28874,311
2014-2015,"Regular Season",8469508,"Jay McClement",-1.321631968,790,1,463,4,420,5,457,-2,511,29,441,36,287,21,239,5,503,19,99,465,448,5295,44,9,421,28874,312
2014-2015,"Regular Season",8475462,"Radko Gudas",2.431709012,255,2,418,3,470,5,475,-5,643,54,230,104,11,55,51,12,260,8,359,86,588,1024,380,34,59,28840,313
2014-2015,"Regular Season",8470778,"Drew Miller",3.740110976,161,1,480,4,423,5,460,2,246,40,332,53,139,34,138,5,495,12,252,133,543,6792,7,4,546,28815,314
2014-2015,"Regular Season",8475722,"Jason Zucker",1.609269027,326,12,37,4,393,16,183,-1,410,72,118,36,281,10,464,12,284,13,216,1056,373,2616,243,12,326,28813,315
2014-2015,"Regular Season",8475726,"Tyler Toffoli",3.281709605,186,10,68,14,83,24,61,14,15,84,74,41,224,3,649,17,162,13,206,3470,235,2068,282,12,332,28718,316
2014-2015,"Regular Season",8468598,"Lubomir Visnovsky",2.790180012,227,2,369,8,231,10,285,5,129,41,317,13,555,29,174,18,122,18,107,4298,174,45,598,2,666,28716,317
2014-2015,"Regular Season",8470171,"Maxime Talbot",3.320664124,185,2,378,5,363,7,384,-4,597,40,336,44,202,21,238,5,502,24,42,783,398,6258,12,21,162,28707,318
2014-2015,"Regular Season",8471232,"Lauri Korpikoski",-1.991154669,814,3,317,7,272,10,291,-13,754,34,390,61,99,25,206,6,466,12,249,1420,356,3023,208,2,626,28606,319
2014-2015,"Regular Season",8476456,"Jonathan Huberdeau",5.08374553,100,3,358,10,181,13,228,0,318,61,187,31,337,7,560,7,457,14,194,4485,164,112,550,12,350,28586,320
2014-2015,"Regular Season",8467389,"Brad Richards",2.623988525,242,6,156,12,126,18,138,9,58,84,75,9,622,12,423,12,281,11,270,4371,172,41,605,6,536,28534,321
2014-2015,"Regular Season",8471691,"Martin Hanzal",9.756574413,15,6,177,11,156,17,156,1,264,57,210,68,78,13,380,7,449,16,139,3624,224,2360,265,25,118,28457,322
2014-2015,"Regular Season",8474100,"Dwight King",3.043492102,203,4,271,5,346,9,329,-7,676,41,324,37,274,4,626,9,393,11,275,979,382,1996,288,9,424,28404,323
2014-2015,"Regular Season",8468504,"Brad Boyes",2.249288407,273,5,203,9,200,14,210,0,316,62,177,29,357,14,365,12,277,11,269,3692,219,69,575,6,529,28376,324
2014-2015,"Regular Season",8475163,"Alex Chiasson",-1.637833185,804,6,186,7,256,13,234,-8,694,41,325,41,228,13,388,3,587,9,343,4592,158,2677,238,39,31,28190,325
2014-2015,"Regular Season",8476871,"Tanner Pearson",0.747917686,454,11,48,3,441,14,219,13,22,58,199,35,295,8,524,13,255,16,132,3394,240,732,410,14,284,27981,326
2014-2015,"Regular Season",8466140,"Olli Jokinen",6.225060042,65,2,365,0,663,2,619,0,358,57,211,33,318,10,468,6,478,4,517,321,470,2975,214,14,277,27937,327
2014-2015,"Regular Season",8476473,"Connor Murphy",0.337979495,517,2,429,3,473,5,478,-5,644,23,506,39,258,49,69,11,297,5,468,121,549,2815,229,15,255,27908,328
2014-2015,"Regular Season",8469500,"Mike Cammalleri",7.15527651,45,11,41,4,394,15,201,-1,412,56,218,10,605,4,637,13,257,14,184,3521,231,2713,233,18,199,27817,329
2014-2015,"Regular Season",8475913,"Mark Stone",0.884634464,432,7,146,8,221,15,194,4,156,45,283,10,607,18,290,10,338,27,15,3775,208,2784,230,6,502,27800,330
2014-2015,"Regular Season",8470317,"Nate Guenin",-0.720880527,748,0,593,3,503,3,541,1,284,13,597,39,260,58,46,6,464,8,371,51,627,4398,88,10,373,27746,331
2014-2015,"Regular Season",8475323,"Marcus Kruger",3.539539623,176,4,282,8,226,12,252,2,233,65,156,15,529,22,232,5,501,13,222,68,605,5051,57,20,173,27730,332
2014-2015,"Regular Season",8471436,"Matt Hunwick",-2.776174283,824,0,612,7,291,7,371,8,72,28,447,29,366,31,162,13,241,10,296,1705,340,637,423,10,406,27711,333
2014-2015,"Regular Season",8475799,"Nino Niederreiter",4.055566531,144,14,19,3,440,17,166,-11,741,69,135,59,103,9,490,6,481,12,251,3641,223,1519,329,10,399,27656,334
2014-2015,"Regular Season",8473584,"Andrew MacDonald",1.455210501,350,1,496,6,317,7,375,-3,558,28,455,10,610,35,135,6,465,3,561,2566,288,1979,291,12,333,27629,335
2014-2015,"Regular Season",8474570,"Cody Hodgson",-0.612463318,738,2,410,4,413,6,425,-13,756,46,280,26,404,10,472,9,387,8,363,3710,214,32,617,6,537,27599,336
2014-2015,"Regular Season",8466251,"Jason Chimera",-0.092128896,658,3,299,5,350,8,349,0,330,41,320,64,89,8,518,9,389,15,163,161,526,3260,188,22,151,27559,337
2014-2015,"Regular Season",8471283,"Brandon Prust",2.326162456,268,3,319,7,273,10,292,4,162,39,340,51,154,15,328,7,445,8,370,329,469,4056,104,73,5,27497,338
2014-2015,"Regular Season",8475184,"Chris Kreider",-1.775385412,809,5,234,10,175,15,190,6,97,62,174,66,83,7,554,18,132,6,423,3696,216,4,666,52,15,27466,339
2014-2015,"Regular Season",8471309,"Johan Franzen",1.47273249,348,7,130,13,107,20,116,-12,747,67,144,39,255,9,492,14,225,3,542,5508,108,59,585,26,112,27413,340
2014-2015,"Regular Season",8471362,"Mikhail Grabovski",-2.032019984,816,5,215,7,263,12,259,3,192,45,284,7,648,14,376,18,127,14,174,2957,263,0,675,2,671,27388,341
2014-2015,"Regular Season",8470599,"Milan Michalek",4.650110249,118,3,313,6,306,9,323,-8,698,47,272,25,415,14,368,3,586,7,415,3175,255,3191,193,6,497,27347,342
2014-2015,"Regular Season",8468575,"Dominic Moore",1.11483113,401,1,457,9,209,10,283,4,161,44,291,21,463,24,214,8,408,18,109,101,565,4524,80,10,370,27336,343
2014-2015,"Regular Season",8474013,"Ian Cole",1.303284814,370,3,333,2,533,5,488,8,75,34,382,20,478,40,112,9,364,2,598,894,387,478,444,21,168,27330,344
2014-2015,"Regular Season",8470611,"Eric Fehr",4.906391696,104,7,128,5,331,12,263,5,127,66,148,33,316,16,316,11,314,19,96,510,438,1497,332,8,447,27229,345
2014-2015,"Regular Season",8467514,"Pavel Datsyuk",9.512773431,17,13,21,12,121,25,55,4,146,67,141,15,528,9,508,10,351,16,136,4634,154,184,518,6,523,27139,346
2014-2015,"Regular Season",8470601,"Braydon Coburn",0.784600105,449,1,476,2,552,3,562,0,346,28,452,29,367,33,148,13,240,2,593,170,523,4040,106,10,376,27096,347
2014-2015,"Regular Season",8468639,"John-Michael Liles",1.208541173,385,1,458,6,316,7,374,-4,595,42,310,20,476,28,179,21,83,3,536,3301,246,265,497,4,589,27053,348
2014-2015,"Regular Season",8474568,"Luke Schenn",3.134369705,195,1,506,2,555,3,565,-7,684,35,380,76,54,41,103,19,109,3,538,96,574,3775,133,11,357,26992,349
2014-2015,"Regular Season",8477220,"Nate Schmidt",0.694499204,465,0,758,3,515,3,553,3,210,33,391,23,446,29,172,10,330,11,272,20,672,263,498,10,411,26962,350
2014-2015,"Regular Season",8466158,"Scott Hannan",0.039447318,605,0,569,1,617,1,622,3,215,18,550,12,576,24,215,7,441,5,477,95,575,3026,207,12,323,26938,351
2014-2015,"Regular Season",8474697,"Mark Borowiecki",-1.324803764,792,0,667,3,509,3,547,0,344,16,574,106,8,49,67,7,433,1,645,93,580,3782,132,55,12,26797,352
2014-2015,"Regular Season",8471348,"Nikita Nikitin",1.594951145,329,2,386,3,464,5,469,-6,662,41,323,11,587,27,189,16,169,9,322,2891,266,2689,237,10,389,26758,353
2014-2015,"Regular Season",8471338,"Torrey Mitchell",0.043554272,604,3,322,3,458,6,431,-6,660,30,430,28,380,22,229,12,268,16,133,335,465,3912,116,16,224,26736,354
2014-2015,"Regular Season",8470378,"Andre Benoit",-0.473703056,720,1,474,2,551,3,561,-6,666,16,580,15,534,43,99,12,263,2,594,2771,276,1660,317,12,334,26595,355
2014-2015,"Regular Season",8474134,"Yannick Weber",-1.258762858,788,2,405,6,310,8,345,3,197,49,258,26,403,26,200,18,124,4,499,2087,314,839,400,8,453,26587,356
2014-2015,"Regular Season",8470619,"Brian Boyle",2.92337374,213,6,169,2,517,8,366,-2,506,55,226,52,144,31,160,7,437,10,308,224,502,5077,56,33,60,26497,357
2014-2015,"Regular Season",8477934,"Leon Draisaitl",6.361938159,62,2,441,5,370,7,391,-16,764,47,274,21,462,8,534,15,202,13,212,3938,196,6,661,2,669,26192,358
2014-2015,"Regular Season",8476392,"Adam Lowry",8.018394324,30,4,289,3,455,7,402,-2,507,42,309,100,20,12,411,7,451,10,309,785,397,335,481,28,92,26166,359
2014-2015,"Regular Season",8475223,"Linden Vey",2.767753045,230,6,189,8,224,14,213,-1,414,30,427,4,696,2,685,9,394,9,335,5134,133,8,657,8,473,26046,360
2014-2015,"Regular Season",8477591,"Josh Jooris",5.686177373,84,8,120,5,330,13,243,-1,417,41,321,32,328,14,361,14,221,12,238,1335,361,2065,283,6,509,25955,361
2014-2015,"Regular Season",8467396,"Erik Cole",3.000305573,210,6,157,5,336,11,278,-5,631,56,220,65,85,9,489,15,199,13,210,2905,264,237,505,8,459,25949,362
2014-2015,"Regular Season",8468518,"Tomas Kopecky",2.284882668,271,1,455,4,418,5,455,-5,640,56,221,46,182,13,387,7,450,9,337,202,509,5086,55,14,265,25924,363
2014-2015,"Regular Season",8470358,"Alexandre Burrows",1.776897735,308,8,99,7,248,15,195,0,314,59,198,30,343,15,336,8,414,13,220,3425,238,1831,305,22,157,25907,364
2014-2015,"Regular Season",8470039,"Tomas Fleischmann",3.210482722,189,3,310,5,353,8,352,6,105,58,202,30,344,11,436,7,452,16,140,2054,319,1859,301,8,442,25830,365
2014-2015,"Regular Season",8473426,"Mike Weber",-1.459027381,796,0,629,4,435,4,496,-5,645,13,607,72,68,53,58,18,118,4,498,101,566,3661,145,39,30,25730,366
2014-2015,"Regular Season",8470180,"Eric Nystrom",1.177861421,391,5,211,3,448,8,364,4,170,43,297,55,124,18,280,5,510,5,481,117,552,4271,90,8,432,25720,367
2014-2015,"Regular Season",8474189,"Lars Eller",6.125716739,74,7,141,5,333,12,265,-2,497,61,188,17,508,18,289,11,310,10,299,357,459,2100,279,16,235,25640,368
2014-2015,"Regular Season",8472410,"Stephen Gionta",2.333507594,266,3,329,3,460,6,433,5,136,45,282,42,222,24,213,6,467,6,438,44,634,4863,65,6,488,25569,369
2014-2015,"Regular Season",8468505,"Steve Ott",1.287755362,374,1,454,6,314,7,372,-1,427,18,553,75,61,8,516,3,599,8,382,734,401,3579,163,36,50,25529,370
2014-2015,"Regular Season",8469759,"Vernon Fiddler",1.56453028,339,2,376,7,278,9,317,-1,420,43,298,15,530,26,204,8,405,11,276,251,492,4827,69,11,356,25525,371
2014-2015,"Regular Season",8473986,"Alex Killorn",3.575714499,174,7,137,7,252,14,214,4,157,42,305,21,464,8,535,17,160,9,319,2882,268,996,384,14,282,25453,372
2014-2015,"Regular Season",8469466,"Ales Hemsky",1.992469579,291,2,371,8,232,10,286,-13,753,53,242,8,637,9,511,14,228,14,183,3708,215,14,640,8,471,25416,373
2014-2015,"Regular Season",8477507,"Nikita Zadorov",-0.878653182,766,2,440,2,544,4,530,-2,513,16,578,46,191,27,185,17,150,6,424,1903,327,472,446,35,56,25367,374
2014-2015,"Regular Season",8471693,"Jakub Kindl",1.794322534,305,2,388,7,280,9,319,-1,421,36,370,19,486,23,223,17,151,2,589,2668,283,72,572,14,293,25360,375
2014-2015,"Regular Season",8470621,"Corey Perry",3.909477205,153,14,14,8,214,22,90,11,33,68,138,23,444,9,505,8,421,8,367,4642,153,336,480,33,63,24911,376
2014-2015,"Regular Season",8474642,"Lance Bouma",2.877016619,215,5,230,4,399,9,335,-5,632,33,398,105,10,35,125,8,399,8,365,63,610,3584,161,15,252,24890,377
2014-2015,"Regular Season",8468001,"Derek MacKenzie",-0.94068461,772,3,304,2,527,5,482,-6,664,28,458,102,15,26,191,3,575,7,411,453,451,5401,38,21,163,24885,378
2014-2015,"Regular Season",8476874,"Olli Maatta",1.585173395,335,1,550,8,242,9,316,1,275,27,464,18,499,33,150,11,301,3,546,1577,348,2852,224,10,387,24850,379
2014-2015,"Regular Season",8474034,"Patrick Maroon",1.395299813,361,2,400,13,118,15,186,-4,589,44,295,44,200,4,623,12,293,9,329,4997,141,9,654,24,135,24842,380
2014-2015,"Regular Season",8470159,"Boyd Gordon",0.469012741,495,5,209,3,447,8,363,-2,505,37,363,16,522,40,113,9,365,13,219,1157,369,4605,76,13,302,24839,381
2014-2015,"Regular Season",8474884,"Mike Hoffman",1.994017336,290,10,64,5,327,15,200,14,19,72,115,21,461,10,474,12,285,24,39,2889,267,214,511,4,590,24826,382
2014-2015,"Regular Season",8471703,"Steve Downie",-2.138891552,817,5,219,12,129,17,151,8,68,41,315,50,163,20,251,11,308,4,511,3154,256,79,568,135,1,24821,383
2014-2015,"Regular Season",8465058,"Michal Rozsival",2.82276754,223,1,443,3,477,4,501,6,111,28,448,43,217,32,154,15,190,5,460,1374,358,1024,379,10,403,24794,384
2014-2015,"Regular Season",8471254,"Bryan Bickell",1.568197998,338,4,257,7,266,11,269,-2,498,50,255,74,63,5,604,9,391,11,274,2066,315,0,678,17,215,24731,385
2014-2015,"Regular Season",8469465,"Dan Hamhuis",1.257861067,378,0,584,6,323,6,409,-5,636,19,540,24,437,29,171,16,167,7,390,2320,299,2622,242,13,304,24727,386
2014-2015,"Regular Season",8471669,"Paul Stastny",4.579181282,123,7,132,6,296,13,239,-1,416,50,253,6,664,7,580,5,537,8,377,4023,189,452,452,16,240,24714,387
2014-2015,"Regular Season",8477509,"Mirco Mueller",0.304969316,529,1,560,2,563,3,573,-2,517,21,522,29,369,38,118,8,398,15,164,672,412,932,390,8,452,24709,388
2014-2015,"Regular Season",8475906,"John Klingberg",1.481900613,346,3,354,7,277,10,296,4,165,31,415,17,512,26,202,15,191,13,208,2411,294,362,475,16,243,24571,389
2014-2015,"Regular Season",8469492,"Fedor Tyutin",-0.25203666,687,0,586,3,501,3,539,-1,445,20,531,35,299,34,141,8,401,2,600,626,422,3980,109,8,434,24566,390
2014-2015,"Regular Season",8467400,"Francois Beauchemin",0.962265221,421,0,573,5,381,5,443,3,206,22,511,30,349,32,156,11,302,4,510,1434,355,2817,228,6,501,24535,391
2014-2015,"Regular Season",8473536,"James Sheppard",0.525341455,487,4,268,6,303,10,299,0,324,35,379,46,186,22,227,11,307,17,118,992,380,148,532,22,160,24445,392
2014-2015,"Regular Season",8468674,"Deryk Engelland",1.750150875,312,0,583,3,500,3,538,-8,706,19,542,52,147,51,64,17,141,5,458,13,683,2017,287,35,55,24429,393
2014-2015,"Regular Season",8458951,"Sergei Gonchar",2.847825066,219,1,442,5,371,6,413,2,242,26,477,24,433,33,149,10,328,2,597,2483,290,456,451,14,287,24397,394
2014-2015,"Regular Season",8474743,"Zach Redmond",2.431472932,256,4,276,6,304,10,300,5,130,35,374,32,329,35,131,11,300,9,332,2202,307,819,402,6,516,24364,395
2014-2015,"Regular Season",8476442,"Matt Nieto",2.8319471,221,3,357,6,307,9,324,0,325,46,278,9,623,13,406,11,319,15,158,2313,300,1178,362,10,402,24252,396
2014-2015,"Regular Season",8473504,"Cal Clutterbuck",2.738410375,236,4,266,4,402,8,360,5,132,63,166,134,3,10,450,9,386,8,362,291,479,2979,212,32,72,24187,397
2014-2015,"Regular Season",8469462,"Tuomo Ruutu",1.73756904,313,5,207,2,519,7,403,-1,430,36,371,77,52,15,323,12,273,9,327,440,454,601,426,18,203,24014,398
2014-2015,"Regular Season",8473574,"Shawn Matthias",1.378942889,364,7,136,5,332,12,264,-5,629,62,180,38,263,13,391,5,522,16,141,154,531,1754,311,8,444,23971,399
2014-2015,"Regular Season",8467423,"Shawn Horcoff",-0.006138583,627,5,201,7,261,12,257,1,272,38,351,34,307,10,467,5,527,4,519,2290,302,1815,308,8,443,23958,400
2014-2015,"Regular Season",8471222,"Ladislav Smid",0.697140185,464,0,602,1,624,1,629,-9,722,20,535,43,218,48,72,9,361,4,514,24,667,2090,280,13,306,23891,401
2014-2015,"Regular Season",8476430,"Tomas Jurco",1.583045396,337,2,426,10,183,12,247,8,71,55,222,46,183,5,605,11,325,10,302,3615,226,0,674,8,477,23863,402
2014-2015,"Regular Season",8470230,"Daniel Paille",-0.09507004,660,1,472,5,374,6,416,-4,600,29,443,41,229,16,313,8,413,12,246,91,582,2956,216,8,439,23820,403
2014-2015,"Regular Season",8471498,"Jannik Hansen",2.748761928,235,8,103,5,328,13,241,-2,495,47,269,43,215,14,355,7,446,15,165,966,385,1978,292,4,560,23753,404
2014-2015,"Regular Season",8469473,"Marcel Goc",0.483615662,494,1,460,2,547,3,557,-2,516,27,467,36,288,17,302,6,468,7,405,1055,374,6040,16,4,548,23739,405
2014-2015,"Regular Season",8464977,"Dainius Zubrus",1.611395854,325,2,362,2,536,4,522,-4,607,34,389,29,365,14,366,3,584,7,414,18,675,2891,221,12,324,23690,406
2014-2015,"Regular Season",8474685,"Matt Calvert",2.189376083,276,3,343,4,409,7,396,-5,635,29,444,40,246,10,462,13,252,9,325,1568,349,3042,205,14,275,23687,407
2014-2015,"Regular Season",8476432,"Boone Jenner",0.896285634,431,6,194,6,298,12,262,-8,695,54,231,65,86,19,262,13,244,15,156,3144,257,1823,307,10,395,23543,408
2014-2015,"Regular Season",8469531,"Jay Harrison",-0.32683846,702,1,464,4,421,5,458,-5,641,25,488,41,230,43,94,9,363,8,361,705,405,1937,293,47,20,23468,409
2014-2015,"Regular Season",8471236,"Andrej Meszaros",-0.332016869,703,1,483,3,483,4,507,-7,681,20,534,18,504,29,173,10,331,4,512,2686,282,1060,374,20,181,23453,410
2014-2015,"Regular Season",8475235,"Nicolas Deslauriers",0.619930572,475,3,348,7,276,10,295,-3,554,23,502,107,7,17,292,2,624,2,623,171,522,1471,337,39,33,23386,411
2014-2015,"Regular Season",8477290,"Michael Raffl",0.952467603,422,10,72,3,443,13,245,6,100,58,201,62,96,22,226,9,372,12,244,645,419,2139,276,10,393,23347,412
2014-2015,"Regular Season",8471717,"Adam McQuaid",-1.365291797,794,1,490,1,607,2,609,2,256,12,610,40,250,27,186,8,403,0,696,56,619,2599,248,19,189,23297,413
2014-2015,"Regular Season",8471681,"Jack Skille",0.458269499,497,5,217,1,586,6,440,-10,730,62,182,71,69,9,488,2,631,14,198,281,480,181,522,11,363,23257,414
2014-2015,"Regular Season",8477493,"Aleksander Barkov",3.719519634,164,2,437,3,476,5,481,-4,602,38,354,12,569,5,613,10,356,9,334,3287,247,332,483,4,586,23227,415
2014-2015,"Regular Season",8468483,"Marian Gaborik",-0.509178841,726,11,40,6,292,17,165,2,228,55,224,5,680,1,710,14,232,5,464,4401,170,59,586,6,532,23048,416
2014-2015,"Regular Season",8475714,"Calle Jarnkrok",2.175002021,279,4,283,5,348,9,331,7,81,42,303,16,521,8,542,7,455,6,437,879,388,2609,246,2,629,23036,417
2014-2015,"Regular Season",8467334,"Manny Malhotra",-2.68968134,822,0,572,1,618,1,623,-4,611,28,457,18,498,43,98,12,262,9,326,142,536,5627,29,6,486,23032,418
2014-2015,"Regular Season",8475231,"Casey Cizikas",1.522690482,343,4,281,5,347,9,330,4,169,35,376,59,105,15,327,5,514,20,88,239,495,2661,239,10,390,22886,419
2014-2015,"Regular Season",8478137,"Jiri Sekac",1.394163206,362,6,198,7,260,13,238,2,231,28,449,27,397,13,395,11,317,11,271,803,393,766,408,12,341,22822,420
2014-2015,"Regular Season",8476356,"Tobias Rieder",6.168986026,67,4,288,3,454,7,401,3,203,66,149,33,317,14,360,2,625,23,49,669,414,1433,341,2,634,22787,421
2014-2015,"Regular Season",8471956,"Andrew Desjardins",0.633331246,474,2,391,2,540,4,526,-3,566,26,482,58,110,24,212,8,407,7,399,88,586,2616,244,39,32,22625,422
2014-2015,"Regular Season",8475167,"Victor Hedman",1.068099647,406,2,415,8,236,10,290,6,102,32,404,13,558,27,188,21,84,8,354,3400,239,2410,260,18,200,22584,423
2014-2015,"Regular Season",8469544,"Patrick Sharp",3.074006338,199,5,208,10,173,15,188,-5,626,91,56,24,421,6,593,7,460,14,195,4510,160,43,603,14,297,22567,424
2014-2015,"Regular Season",8475744,"Evgeny Kuznetsov",2.112302939,284,4,284,9,202,13,230,7,80,46,275,10,606,3,654,8,429,11,278,2646,286,78,569,8,465,22557,425
2014-2015,"Regular Season",8477930,"Pierre-Edouard Bellemare",4.829392819,106,3,361,3,462,6,435,2,243,37,359,37,275,11,433,6,476,15,166,182,518,2385,262,6,506,22557,426
2014-2015,"Regular Season",8476440,"Markus Granlund",0.962372374,420,4,291,8,228,12,254,-2,496,37,362,20,477,13,399,8,418,14,193,906,386,1583,320,8,445,22556,427
2014-2015,"Regular Season",8464975,"Daniel Briere",1.848298664,299,6,153,1,584,7,407,-4,599,46,279,12,568,7,571,2,638,14,199,2754,278,70,574,14,294,22554,428
2014-2015,"Regular Season",8474291,"Jay Beagle",2.35932958,263,5,228,4,398,9,334,-2,502,40,334,38,264,17,300,5,511,13,223,42,638,3033,206,10,386,22495,429
2014-2015,"Regular Season",8470740,"Lee Stempniak",2.330618309,267,5,213,7,262,12,258,6,101,54,227,28,379,9,498,14,226,10,295,2902,265,1142,368,6,513,22446,430
2014-2015,"Regular Season",8471856,"Joe Vitale",-3.082356405,829,3,328,3,459,6,432,-3,562,27,469,55,126,34,137,8,400,17,120,81,593,4544,78,21,165,22416,431
2014-2015,"Regular Season",8474709,"Matt Martin",1.492404289,345,4,275,2,526,6,439,1,278,42,308,156,1,22,225,11,306,9,333,279,483,154,528,45,24,22408,432
2014-2015,"Regular Season",8468611,"Matt Hendricks",1.671842825,320,2,370,5,362,7,383,-3,559,43,302,85,37,26,192,7,439,11,279,281,481,4428,87,30,81,22401,433
2014-2015,"Regular Season",8470169,"Gregory Campbell",0.840600611,439,3,312,1,589,4,532,0,340,29,438,50,166,17,297,9,377,4,515,131,545,2911,220,23,138,22360,434
2014-2015,"Regular Season",8475220,"Marcus Foligno",1.760412658,311,4,280,3,453,7,400,-8,700,27,472,87,34,13,378,10,345,5,470,502,440,1259,354,39,34,22272,435
2014-2015,"Regular Season",8470207,"Joffrey Lupul",2.573612234,249,8,97,6,294,14,217,-1,415,53,238,40,240,11,432,8,419,20,86,3046,259,33,613,12,351,22272,436
2014-2015,"Regular Season",8475160,"Kyle Clifford",0.81244459,446,1,514,6,320,7,378,2,239,51,248,75,60,7,553,6,485,13,221,306,475,46,595,27,100,22269,437
2014-2015,"Regular Season",8474613,"Derek Stepan",2.914570265,214,3,342,16,58,19,121,4,150,41,318,13,556,3,652,10,358,14,191,3853,203,1827,306,2,631,22187,438
2014-2015,"Regular Season",8476808,"Brian Flynn",2.71568263,238,3,359,5,359,8,358,-2,504,33,396,18,496,17,307,5,513,3,566,650,417,3202,191,4,555,22087,439
2014-2015,"Regular Season",8474098,"Colton Sceviour",-0.528319743,727,2,404,5,366,7,387,2,240,36,366,30,347,16,318,4,548,8,378,2037,321,585,427,0,703,21843,440
2014-2015,"Regular Season",8465009,"Zdeno Chara",1.059146801,409,2,363,5,360,7,381,3,201,46,276,24,427,23,222,19,110,2,588,2116,312,2982,210,14,276,21831,441
2014-2015,"Regular Season",8474668,"Dale Weise",0.854226055,436,4,274,7,270,11,273,9,60,38,347,51,155,14,352,3,582,7,413,81,594,1538,326,16,237,21814,442
2014-2015,"Regular Season",8468478,"Mike Weaver",-0.253854858,688,0,577,3,498,3,536,1,283,5,676,28,384,52,62,17,140,5,457,3,711,4815,70,6,489,21809,443
2014-2015,"Regular Season",8477494,"Jonathan Drouin",1.097624106,403,2,438,12,137,14,205,-3,550,27,468,18,500,7,568,12,292,20,85,2757,277,95,557,8,463,21804,444
2014-2015,"Regular Season",8475613,"Nate Prosser",3.011339489,209,1,525,3,489,4,513,-9,719,16,581,20,481,36,124,7,436,2,604,15,680,3386,178,12,322,21775,445
2014-2015,"Regular Season",8473673,"David Schlemko",-1.133145884,783,1,497,3,485,4,509,-5,647,24,495,29,368,38,117,7,435,1,646,860,390,2394,261,4,557,21738,446
2014-2015,"Regular Season",8473463,"Leo Komarov",0.075098475,587,4,263,12,132,16,169,4,153,34,383,99,21,10,452,5,526,25,30,192,513,4153,98,4,551,21661,447
2014-2015,"Regular Season",8467331,"Brad Stuart",0.327849268,520,0,570,2,567,2,586,-2,519,14,594,43,219,43,93,3,573,7,410,696,407,3636,152,8,436,21647,448
2014-2015,"Regular Season",8470120,"Alexander Semin",3.013633434,207,1,469,5,373,6,415,-9,716,28,460,12,573,5,614,14,230,22,61,2224,305,27,622,16,246,21630,449
2014-2015,"Regular Season",8476191,"Kevan Miller",-1.465943658,797,1,533,2,560,3,570,7,83,15,582,46,192,32,153,9,368,1,642,11,686,3250,189,9,422,21455,450
2014-2015,"Regular Season",8475763,"Kevin Hayes",5.949845142,76,4,286,8,227,12,253,2,234,38,350,26,405,8,530,10,352,23,48,332,466,713,412,8,455,21375,451
2014-2015,"Regular Season",8475148,"Tim Erixon",1.068578035,405,1,511,5,377,6,419,-1,433,24,493,14,544,13,404,3,589,3,571,3916,199,68,577,6,530,21314,452
2014-2015,"Regular Season",8474168,"Joakim Andersson",0.937938295,423,0,654,3,507,3,545,0,343,33,395,12,571,7,572,6,486,2,608,135,542,3671,143,10,380,21198,453
2014-2015,"Regular Season",8473565,"Brian Strait",3.042262536,204,0,634,2,573,2,592,-8,707,19,543,41,231,25,208,11,305,2,596,72,601,2574,252,16,232,21184,454
2014-2015,"Regular Season",8470654,"Maxim Lapierre",-0.417646364,712,2,384,6,308,8,343,0,329,31,417,35,298,15,334,3,581,9,342,103,564,3837,123,14,269,21087,455
2014-2015,"Regular Season",8469485,"Derek Roy",1.399737101,359,1,462,9,210,10,284,0,322,35,378,3,711,10,486,16,179,14,178,2218,306,1115,369,2,638,21076,456
2014-2015,"Regular Season",8475598,"Ryan Stanton",2.098537552,286,0,698,3,511,3,549,4,179,29,435,44,205,42,100,14,210,2,591,44,635,1483,333,17,212,21047,457
2014-2015,"Regular Season",8474250,"Zack Smith",1.369923555,365,2,409,1,596,3,578,-7,685,31,422,46,187,12,417,5,523,14,196,340,464,2134,277,12,331,21045,458
2014-2015,"Regular Season",8470302,"Patrick Dwyer",0.806454259,447,2,381,2,539,4,525,-3,565,27,470,49,170,15,329,5,515,8,376,361,458,3759,135,2,621,21034,459
2014-2015,"Regular Season",8475287,"Erik Haula",3.467157502,180,3,350,1,592,4,535,-4,608,42,311,15,531,13,402,1,662,12,255,112,557,3947,113,10,377,21014,460
2014-2015,"Regular Season",8473453,"Trevor Lewis",3.19122983,191,6,178,2,518,8,367,3,200,65,155,65,84,8,517,2,633,8,384,463,449,2694,236,6,504,20985,461
2014-2015,"Regular Season",8474573,"Josh Bailey",1.790509843,306,5,229,5,339,10,303,4,166,41,319,27,396,10,471,13,254,13,213,2131,311,430,460,4,584,20829,462
