Season,SeasonType,PlayerId,PlayerName,SumOfSumOfImpact,SSIRank
2012-2013,Regular Season,8473604,Jonathan Toews,20.8371797,1
2012-2013,Regular Season,8471675,Sidney Crosby,19.47327571,2
2012-2013,Regular Season,8467514,Pavel Datsyuk,16.85625562,3
2012-2013,Regular Season,8475166,John Tavares,16.12504575,4
2012-2013,Regular Season,8474141,Patrick Kane,15.94369642,5
2012-2013,Regular Season,8470606,Dustin Brown,14.86130355,6
2012-2013,Regular Season,8469459,Mikko Koivu,14.75274599,7
2012-2013,Regular Season,8470610,Zach Parise,14.21147934,8
2012-2013,Regular Season,8473512,Claude Giroux,13.92375903,9
2012-2013,Regular Season,8475168,Matt Duchene,13.85571901,10
2012-2013,Regular Season,8474053,Logan Couture,13.81632628,11
2012-2013,Regular Season,8474613,Derek Stepan,13.78418064,12
2012-2013,Regular Season,8470041,Rick Nash,13.39496334,13
2012-2013,Regular Season,8473994,Jamie Benn,12.95312628,14
2012-2013,Regular Season,8473914,Mark Letestu,12.6415183,15
2012-2013,Regular Season,8474040,Sam Gagner,12.14521214,16
2012-2013,Regular Season,8470852,Matt Moulson,12.08998857,17
2012-2013,Regular Season,8470621,Corey Perry,12.08467446,18
2012-2013,Regular Season,8468434,Andy McDonald,12.06202238,19
2012-2013,Regular Season,8469506,Jason Pominville,11.7047002,20
2012-2013,Regular Season,8471339,Ryan Callahan,11.46641568,21
2012-2013,Regular Season,8474068,Kyle Turris,11.43463127,22
2012-2013,Regular Season,8471276,David Krejci,11.30349059,23
2012-2013,Regular Season,8470612,Ryan Getzlaf,10.84738798,24
2012-2013,Regular Season,8470257,Alexander Steen,10.80520948,25
2012-2013,Regular Season,8474564,Steven Stamkos,10.76757924,26
2012-2013,Regular Season,8470144,Frans Nielsen,10.71099431,27
2012-2013,Regular Season,8470274,Chris Higgins,10.5462471,28
2012-2013,Regular Season,8474586,Jordan Eberle,10.51700753,29
2012-2013,Regular Season,8470358,Alexandre Burrows,10.50447476,30
2012-2013,Regular Season,8471218,Blake Wheeler,10.48571059,31
2012-2013,Regular Season,8475164,Jakob Silfverberg,10.46232351,32
2012-2013,Regular Season,8470595,Eric Staal,10.45645214,33
2012-2013,Regular Season,8466378,Martin St. Louis,10.38661617,34
2012-2013,Regular Season,8466148,Marian Hossa,10.28238564,35
2012-2013,Regular Season,8470638,Patrice Bergeron,10.23795963,36
2012-2013,Regular Season,8475098,Tyler Bozak,10.204325,37
2012-2013,Regular Season,8473573,Artem Anisimov,10.13120836,38
2012-2013,Regular Season,8475848,Brendan Gallagher,9.808436377,39
2012-2013,Regular Season,8471226,Drew Stafford,9.682732623,40
2012-2013,Regular Season,8459442,Saku Koivu,9.544846222,41
2012-2013,Regular Season,8468085,Radim Vrbata,9.504753613,42
2012-2013,Regular Season,8474715,Cam Atkinson,9.347656777,43
2012-2013,Regular Season,8466139,Patrick Marleau,9.256261821,44
2012-2013,Regular Season,8475794,Tyler Seguin,9.234233477,45
2012-2013,Regular Season,8471233,Travis Zajac,9.111200189,46
2012-2013,Regular Season,8471214,Alex Ovechkin,9.105680748,47
2012-2013,Regular Season,8474157,Max Pacioretty,9.089042893,48
2012-2013,Regular Season,8471669,Paul Stastny,9.085867986,49
2012-2013,Regular Season,8475791,Taylor Hall,9.075652716,50
