Season,SeasonType,PlayerId,PlayerName,SumOfSumOfImpact,SSIRank
2014-2015,Regular Season,8474627,Jori Lehtera,17.29285107,1
2014-2015,Regular Season,8468083,Henrik Zetterberg,14.5360476,2
2014-2015,Regular Season,8469455,Jason Spezza,14.3337935,3
2014-2015,Regular Season,8475765,Vladimir Tarasenko,12.77507095,4
2014-2015,Regular Season,8473604,Jonathan Toews,12.60201738,5
2014-2015,Regular Season,8470794,Joe Pavelski,12.21714249,6
2014-2015,Regular Season,8473449,Kyle Okposo,11.78592181,7
2014-2015,Regular Season,8470613,Brent Burns,11.56047449,8
2014-2015,Regular Season,8474679,Gustav Nyquist,11.47127348,9
2014-2015,Regular Season,8466138,Joe Thornton,11.44057576,10
2014-2015,Regular Season,8470616,Ryan Kesler,10.99478435,11
2014-2015,Regular Season,8469521,Tomas Plekanec,10.50061742,12
2014-2015,Regular Season,8471675,Sidney Crosby,10.42549042,13
2014-2015,Regular Season,8466139,Patrick Marleau,9.960737917,14
2014-2015,Regular Season,8471691,Martin Hanzal,9.756574413,15
2014-2015,Regular Season,8475768,Jaden Schwartz,9.572513895,16
2014-2015,Regular Season,8467514,Pavel Datsyuk,9.512773431,17
2014-2015,Regular Season,8474564,Steven Stamkos,9.443813976,18
2014-2015,Regular Season,8471214,Alex Ovechkin,9.431287087,19
2014-2015,Regular Season,8470041,Rick Nash,9.350763505,20
2014-2015,Regular Season,8477497,Sean Monahan,8.921844507,21
2014-2015,Regular Season,8473548,Phil Kessel,8.695322058,22
2014-2015,Regular Season,8448208,Jaromir Jagr,8.67527519,23
2014-2015,Regular Season,8470144,Frans Nielsen,8.637951983,24
2014-2015,Regular Season,8476453,Nikita Kucherov,8.604744786,25
2014-2015,Regular Season,8474578,Erik Karlsson,8.414929636,26
2014-2015,Regular Season,8474739,Tommy Wingels,8.397943436,27
2014-2015,Regular Season,8475222,Sami Vatanen,8.252667431,28
2014-2015,Regular Season,8473618,Mathieu Perreault,8.186677368,29
2014-2015,Regular Season,8476392,Adam Lowry,8.018394324,30
2014-2015,Regular Season,8473512,Claude Giroux,7.840963221,31
2014-2015,Regular Season,8474141,Patrick Kane,7.723740091,32
2014-2015,Regular Season,8475168,Matt Duchene,7.697802173,33
2014-2015,Regular Season,8474053,Logan Couture,7.607523455,34
2014-2015,Regular Season,8471724,Kris Letang,7.538901194,35
2014-2015,Regular Season,8476923,Damon Severson,7.433084003,36
2014-2015,Regular Season,8476437,Victor Rask,7.427623229,37
2014-2015,Regular Season,8475098,Tyler Bozak,7.370772341,38
2014-2015,Regular Season,8475794,Tyler Seguin,7.344233304,39
2014-2015,Regular Season,8470612,Ryan Getzlaf,7.313989067,40
2014-2015,Regular Season,8473994,Jamie Benn,7.280490248,41
2014-2015,Regular Season,8473544,Derick Brassard,7.262819671,42
2014-2015,Regular Season,8474040,Sam Gagner,7.247425992,43
2014-2015,Regular Season,8471794,Darren Helm,7.247402896,44
2014-2015,Regular Season,8469500,Mike Cammalleri,7.15527651,45
2014-2015,Regular Season,8470606,Dustin Brown,7.129808649,46
2014-2015,Regular Season,8474161,Jakub Voracek,7.091408306,47
2014-2015,Regular Season,8474157,Max Pacioretty,7.031082735,48
2014-2015,Regular Season,8474600,Roman Josi,7.010442173,49
2014-2015,Regular Season,8471339,Ryan Callahan,6.860339559,50
