Season,SeasonType,PlayerId,PlayerName,SumOfSumOfImpact,SSIRank
2011-2012,Regular Season,8471215,Evgeni Malkin,33.77903186,1
2011-2012,Regular Season,8470610,Zach Parise,28.96714965,2
2011-2012,Regular Season,8469455,Jason Spezza,26.31688587,3
2011-2012,Regular Season,8475166,John Tavares,26.11128831,4
2011-2012,Regular Season,8473512,Claude Giroux,24.6199428,5
2011-2012,Regular Season,8470616,Ryan Kesler,24.11799118,6
2011-2012,Regular Season,8470626,Loui Eriksson,24.10728981,7
2011-2012,Regular Season,8470794,Joe Pavelski,23.68359534,8
2011-2012,Regular Season,8473604,Jonathan Toews,23.53183578,9
2011-2012,Regular Season,8471276,David Krejci,22.87324415,10
2011-2012,Regular Season,8470638,Patrice Bergeron,22.50070957,11
2011-2012,Regular Season,8457981,Teemu Selanne,22.13823822,12
2011-2012,Regular Season,8474564,Steven Stamkos,22.09205595,13
2011-2012,Regular Season,8469506,Jason Pominville,21.82424773,14
2011-2012,Regular Season,8470655,David Backes,21.70495775,15
2011-2012,Regular Season,8470041,Rick Nash,21.05981752,16
2011-2012,Regular Season,8474053,Logan Couture,21.01828075,17
2011-2012,Regular Season,8468085,Radim Vrbata,20.95517082,18
2011-2012,Regular Season,8471214,Alex Ovechkin,20.73790152,19
2011-2012,Regular Season,8473994,Jamie Benn,20.63997599,20
2011-2012,Regular Season,8468483,Marian Gaborik,20.07554093,21
2011-2012,Regular Season,8467514,Pavel Datsyuk,19.97563437,22
2011-2012,Regular Season,8473548,Phil Kessel,19.61971407,23
2011-2012,Regular Season,8469454,Ilya Kovalchuk,19.29321644,24
2011-2012,Regular Season,8466139,Patrick Marleau,19.18845756,25
2011-2012,Regular Season,8470595,Eric Staal,19.06017329,26
2011-2012,Regular Season,8469457,Stephen Weiss,18.98336812,27
2011-2012,Regular Season,8475794,Tyler Seguin,18.66826279,28
2011-2012,Regular Season,8474141,Patrick Kane,18.53332571,29
2011-2012,Regular Season,8471685,Anze Kopitar,18.28501852,30
2011-2012,Regular Season,8462038,Shane Doan,18.23228465,31
2011-2012,Regular Season,8471669,Paul Stastny,18.07244714,32
2011-2012,Regular Season,8469459,Mikko Koivu,17.74696038,33
2011-2012,Regular Season,8458537,Ray Whitney,17.6736101,34
2011-2012,Regular Season,8466148,Marian Hossa,17.62318507,35
2011-2012,Regular Season,8462042,Jarome Iginla,17.61950348,36
2011-2012,Regular Season,8473533,Jordan Staal,17.43591434,37
2011-2012,Regular Season,8469500,Mike Cammalleri,17.21144738,38
2011-2012,Regular Season,8474040,Sam Gagner,16.99222113,39
2011-2012,Regular Season,8469544,Patrick Sharp,16.87851702,40
